route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"12-831-aus-1","","831","Berwick Station - Kingsmere Estate","3","FF8200","FFFFFF"
"12-834-aus-1","","834","Berwick Station","3","FF8200","FFFFFF"
"12-835-aus-1","","835","Berwick Station","3","FF8200","FFFFFF"
"12-836-aus-1","","836","Berwick Station - Eden Rise SC","3","FF8200","FFFFFF"
"12-837-aus-1","","837","Berwick Station - Beaconsfield East","3","FF8200","FFFFFF"
"12-838-aus-1","","838","Fountain Gate SC - Emerald","3","FF8200","FFFFFF"
"12-839-aus-1","","839","Berwick Station - North Berwick","3","FF8200","FFFFFF"
"12-840-aus-1","","840","Pakenham - Gembrook","3","FF8200","FFFFFF"
"12-841-aus-1","","841","Narre Warren North - Cranbourne","3","FF8200","FFFFFF"
"12-842-aus-1","","842","Fountain Gate SC - Endeavour Hills SC","3","FF8200","FFFFFF"
"12-846-aus-1","","846","Berwick Station - Eden Rise SC","3","FF8200","FFFFFF"
"12-847-aus-1","","847","Casey Central SC - Berwick","3","FF8200","FFFFFF"
"12-888-aus-1","","888","Berwick Station - Clyde","3","FF8200","FFFFFF"
"12-889-aus-1","","889","Berwick Station - Clyde North","3","FF8200","FFFFFF"
"12-899-aus-1","","899","Berwick Station - The Avenue Village SC","3","FF8200","FFFFFF"
"12-925-aus-1","","925","Pakenham Station - Lakeside","3","FF8200","FFFFFF"
"12-926-aus-1","","926","Fountain Gate SC - Pakenham Station","3","FF8200","FFFFFF"
"12-927-aus-1","","927","Pakenham Station - Pakenham North","3","FF8200","FFFFFF"
"12-928-aus-1","","928","Pakenham Station - Cardinia Road Station","3","FF8200","FFFFFF"
"12-929-aus-1","","929","Pakenham Station - Pakenham North (Army Rd)","3","FF8200","FFFFFF"
"13-460-aus-5","","460","Watergardens Railway Station - Caroline Springs Station","3","FF8200","FFFFFF"
"13-462-aus-5","","462","Watergardens - Caroline Springs","3","FF8200","FFFFFF"
"13-463-aus-5","","463","Watergardens - Hillside","3","FF8200","FFFFFF"
"13-469-aus-5","","469","Moonee Ponds - Keilor East","3","FF8200","FFFFFF"
"13-476-aus-5","","476","Moonee Ponds - Watergardens","3","FF8200","FFFFFF"
"14-200-aus-4","","200","City (Queen St) - Bulleen","3","FF8200","FFFFFF"
"14-207-aus-4","","207","City (Queen St) - Doncaster SC","3","FF8200","FFFFFF"
"14-270-aus-4","","270","Box Hill - Mitcham","3","FF8200","FFFFFF"
"14-271-aus-4","","271","Box Hill - Ringwood","3","FF8200","FFFFFF"
"14-273-aus-4","","273","Nunawading Station - The Pines SC","3","FF8200","FFFFFF"
"14-279-aus-4","","279","Box Hill - Doncaster SC/Templestowe","3","FF8200","FFFFFF"
"14-280-aus-4","","280","The Pines SC","3","FF8200","FFFFFF"
"14-281-aus-4","","281","Templestowe - Deakin University","3","FF8200","FFFFFF"
"14-282-aus-4","","282","The Pines SC","3","FF8200","FFFFFF"
"14-284-aus-4","","284","Box Hill - Doncaster Park & Ride","3","FF8200","FFFFFF"
"14-285-aus-4","","285","Doncaster Park & Ride - Camberwell SC","3","FF8200","FFFFFF"
"14-293-aus-4","","293","Box Hill - Greensborough","3","FF8200","FFFFFF"
"14-295-aus-4","","295","Doncaster SC - The Pines SC","3","FF8200","FFFFFF"
"14-302-aus-4","","302","City (Lonsdale St) - Box Hill Station","3","FF8200","FFFFFF"
"14-303-aus-4","","303","City (Queen St) - Ringwood North","3","FF8200","FFFFFF"
"14-304-aus-4","","304","City (Lonsdale St) - Doncaster SC","3","FF8200","FFFFFF"
"14-305-aus-4","","305","City (King/Lonsdale Sts) - The Pines","3","FF8200","FFFFFF"
"14-309-aus-4","","309","City (Queen St) - Donvale","3","FF8200","FFFFFF"
"14-318-aus-4","","318","City (King/Lonsdale Sts) - Deep Creek","3","FF8200","FFFFFF"
"14-364-aus-4","","364","Ringwood Station - Warrandyte","3","FF8200","FFFFFF"
"14-370-aus-4","","370","Mitcham - Ringwood","3","FF8200","FFFFFF"
"14-380-aus-4","","380","Ringwood Loop - Ringwood Loop","3","FF8200","FFFFFF"
"14-901-aus-4","","901","Melbourne Airport - Frankston","3","FF8200","FFFFFF"
"14-903-aus-4","","903","Altona - Mordialloc","3","FF8200","FFFFFF"
"14-905-aus-4","","905","City (King/Lonsdale Sts) - The Pines SC","3","FF8200","FFFFFF"
"14-906-aus-4","","906","City (King/Lonsdale Sts) - Warrandyte","3","FF8200","FFFFFF"
"14-907-aus-4","","907","City (King/Lonsdale Sts) - Mitcham","3","FF8200","FFFFFF"
"14-908-aus-4","","908","City (King/Lonsdale Sts) - The Pines SC","3","FF8200","FFFFFF"
"15-503-aus-1","","503","East Brunswick - Essendon","3","FF8200","FFFFFF"
"15-503-aus-3","","503","East Brunswick - Essendon","3","FF8200","FFFFFF"
"15-503-aus-5","","503","East Brunswick - Essendon","3","FF8200","FFFFFF"
"15-503-aus-7","","503","East Brunswick - Essendon","3","FF8200","FFFFFF"
"15-506-aus-1","","506","Westgarth - Moonee Ponds","3","FF8200","FFFFFF"
"15-506-aus-3","","506","Westgarth - Moonee Ponds","3","FF8200","FFFFFF"
"15-506-aus-5","","506","Westgarth - Moonee Ponds","3","FF8200","FFFFFF"
"15-506-aus-7","","506","Westgarth - Moonee Ponds","3","FF8200","FFFFFF"
"16-511-aus-2","","511","Donnybrook Station - Mandalay","3","FF8200","FFFFFF"
"16-528-aus-2","","528","Craigieburn Station - Craigieburn Central SC","3","FF8200","FFFFFF"
"16-529-aus-2","","529","Craigieburn Station - Craigieburn North","3","FF8200","FFFFFF"
"16-530-aus-2","","530","Campbellfield - Coburg","3","FF8200","FFFFFF"
"16-531-aus-2","","531","Upfield Station - North Coburg","3","FF8200","FFFFFF"
"16-532-aus-2","","532","Craigieburn - Broadmeadows","3","FF8200","FFFFFF"
"16-533-aus-2","","533","Craigieburn - Craigieburn North","3","FF8200","FFFFFF"
"16-537-aus-2","","537","Craigieburn Station - Craigieburn West","3","FF8200","FFFFFF"
"16-544-aus-2","","544","Craigieburn - Roxburgh Park","3","FF8200","FFFFFF"
"17-200-aus-7","","200","City (Queen St) - Bulleen","3","FF8200","FFFFFF"
"17-202-aus-6","","202","Melbourne University - Yarra Bend","3","FF8200","FFFFFF"
"17-207-aus-7","","207","City (Queen St) - Doncaster SC","3","FF8200","FFFFFF"
"17-234-aus-7","","234","City (Queen Victoria Market) - Garden City","3","FF8200","FFFFFF"
"17-235-aus-7","","235","City (Queen Victoria Market) - Fishermans Bend","3","FF8200","FFFFFF"
"17-236-aus-6","","236","City (Queen Victoria Market) - Garden City","3","FF8200","FFFFFF"
"17-237-aus-6","","237","City (Queen Victoria Market) - Fishermans Bend","3","FF8200","FFFFFF"
"17-246-aus-7","","246","Clifton Hill - Elsternwick","3","FF8200","FFFFFF"
"17-250-aus-7","","250","City (Queen St) - La Trobe University","3","FF8200","FFFFFF"
"17-251-aus-7","","251","City (Queen St) - Northland SC","3","FF8200","FFFFFF"
"17-270-aus-6","","270","Box Hill - Mitcham","3","FF8200","FFFFFF"
"17-279-aus-6","","279","Box Hill - Doncaster SC/Templestowe","3","FF8200","FFFFFF"
"17-284-aus-6","","284","Box Hill - Doncaster Park & Ride","3","FF8200","FFFFFF"
"17-285-aus-6","","285","Doncaster Park & Ride - Camberwell SC","3","FF8200","FFFFFF"
"17-302-aus-7","","302","City (Lonsdale St) - Box Hill Station","3","FF8200","FFFFFF"
