Suburb,bus,train,tram,Grand Total,trips_per_stop
Fawkner,2451,230,,2681,34.81818182
Ferntree Gully,12472,214,,12686,91.92753623
Ferny Creek,726,,,726,60.5
Fitzroy,1231,,5388,6619,150.4318182
Fitzroy North,2410,350,2910,5670,94.5
Flemington,328,314,2389,3031,86.6
Flinders,24,,,24,4.8
Footscray,9398,988,1136,11522,100.1913043
Forest Hill,5044,,,5044,102.9387755
Frankston,10495,377,,10872,53.03414634
Frankston North,1687,,,1687,43.25641026
Frankston South,1978,,,1978,26.37333333
Fraser Rise,200,,,200,25
Gardenvale,900,,,900,90
Gembrook,815,,,815,50.9375
Gladstone Park,2009,,,2009,62.78125
Glen Huntly,100,448,279,827,137.8333333
Glen Iris,2348,1092,2077,5517,81.13235294
Glen Waverley,18579,840,,19419,106.6978022
Glenroy,4878,862,,5740,72.65822785
Gowanbrae,357,,,357,22.3125
Greensborough,10681,290,,10971,113.1030928
Greenvale,2371,,,2371,35.92424242
Hadfield,2514,,,2514,54.65217391
Hallam,3418,298,,3716,64.06896552
Hamlyn Heights,76,,,76,76
Hampton,2341,440,,2781,40.30434783
Hampton East,783,,,783,52.2
Hampton Park,8619,,,8619,82.875
Harkness,80,,,80,16
Hastings,463,76,,539,18.5862069
Hawthorn,148,914,7192,8254,125.0606061
Hawthorn East,588,424,3311,4323,93.97826087
Healesville,479,,,479,12.60526316
Heatherton,1817,,,1817,50.47222222
Heathmont,1232,214,,1446,76.10526316
Heidelberg,3225,694,,3919,150.7307692
Heidelberg Heights,3571,,,3571,70.01960784
Heidelberg West,4334,,,4334,90.29166667
Highett,2346,224,,2570,47.59259259
Hillside,1050,,,1050,38.88888889
Hillside ,834,,,834,39.71428571
Hoppers Crossing,7003,144,,7147,38.63243243
Hughesdale,2590,484,,3074,83.08108108
Humevale,188,,,188,18.8
Huntingdale,808,,,808,89.77777778
Hurstbridge,144,128,,272,68
Ivanhoe,3389,816,,4205,68.93442623
Ivanhoe East,798,,,798,57
Jacana,723,,,723,48.2
Junction Village,106,,,106,13.25
