Kilsyth,9470,10176,10675,11127,11595
Kings Park,14447,14784,15155,15576,16046
Kingsbury,11965,13109,14057,14826,15678
Knoxfield,15752,17527,19306,21157,23138
Koo Wee Rup,7666,9494,11036,12424,13705
Lalor,23874,26948,29649,32407,34964
Langwarrin,24694,25883,26887,27735,28684
Laverton,9385,12793,13840,14690,15648
Lilydale,19448,20212,23072,26357,29679
Lynbrook,16067,18177,19748,20647,21346
Lysterfield,6917,7082,7257,7468,7715
Macedon,3525,3560,3647,3790,3963
Malvern,21148,22603,23619,24695,25858
Malvern East,22575,24421,26025,27617,29275
Maribyrnong,12950,14713,18384,22312,25011
Meadow Heights,15779,15870,16030,16261,16660
Melbourne Airport,194,194,194,194,194
Melton,19560,21200,22284,23355,24674
Melton South,24243,34384,46165,58355,70474
Melton West,18157,22197,24450,26552,29167
Mentone,13695,14731,15771,16784,17822
Mernda,17171,25917,28976,30399,31310
Mickleham,3580,18538,33525,47112,58334
Mill Park,31238,31207,31455,31873,32411
Mitcham,16859,17634,18433,19298,20238
Monbulk,5827,5902,5981,6072,6171
Montmorency,16792,17219,17459,17803,18224
Montrose,7078,7177,7261,7373,7546
Moonee Ponds,15158,17712,20977,23272,25599
Moorabbin,4627,5054,5532,6004,6510
Heatherton,4627,5054,5532,6004,6510
Mooroolbark,23027,24348,25460,26615,27844
Mordialloc,10485,11088,11547,12073,12668
Parkdale,10485,11088,11547,12073,12668
Mornington,25030,26542,28039,29653,31386
Mount Dandenong,10109,10153,10202,10260,10334
Mount Eliza,18696,19338,19992,20702,21470
Mount Evelyn,10081,10287,10451,10582,10730
Mount Martha,19365,20527,21847,23396,25179
Mount Waverley,35344,37374,39355,41445,43642
Mulgrave,20462,21570,22654,23780,24992
Murrumbeena,9809,10290,10725,11128,11572
Narre Warren,8183,8871,9318,9768,10225
Narre Warren South,32057,33431,34186,35143,36285
Narre Warren East,27680,28145,28586,29180,29881
Newport,18523,19888,21010,22176,23377
Noble Park North,7871,7962,8084,8313,8659
Noble Park,32508,35058,37817,40975,44218
North Melbourne,22106,29306,33979,40364,45392
Northcote,26424,28701,30539,32396,34327
Nunawading,12363,13111,14208,15227,16248
Oakleigh,22617,24686,27155,29364,31423
Ormond,7029,7447,7806,8162,8531
Glen Huntly,7029,7447,7806,8162,8531
Pakenham,48950,59003,66082,71840,75469
Parkville,7898,9020,9640,10615,11559
Pascoe Vale,24829,27611,29998,32327,34604
Pascoe Vale South,10465,11267,11923,12572,13241
Pearcedale,4018,4149,4297,4448,4603
Tooradin,4018,4149,4297,4448,4603
Plenty,4897,5026,5145,5310,5508
Yarrambat,4897,5026,5145,5310,5508
Point Cook,52253,65720,70827,75589,80414
Point Nepean,17999,18644,19176,19591,20061
Port Melbourne,17494,18797,23755,32190,43953
Prahran,21275,22653,24164,25908,27888
Preston,34059,38767,44178,49456,55101
Research,3504,3514,3539,3570,3632
North Warrandyte,3504,3514,3539,3570,3632
Reservoir East,28420,31187,33462,36083,38924
Reservoir West,25246,26433,27584,28876,30397
Richmond,32686,37786,42185,45884,49800
Riddells Creek,4174,4505,4886,5324,5819
Ringwood,17931,20543,22765,24921,27199
Ringwood East,21031,22087,23128,24254,25467
Ringwood North,9991,10173,10411,10691,11013
Rockbank,3148,13995,28235,45791,65254
Romsey,9663,10468,11375,12199,13065
Rosebud,21613,22990,24450,25995,27629
Rowville,35216,35290,35763,36497,37537
Roxburgh Park,23041,26033,27356,27926,28527
Sandhurst,13664,14253,14651,15024,15395
Sandringham,17517,18717,19698,20598,21521
Seabrook,5408,5609,5763,5927,6099
Seaford,17151,17924,18856,20063,21408
Seddon,4856,5072,5241,5491,5813
Kingsville,4856,5072,5241,5491,5813
Somerville,18878,19793,20719,21626,22616
South Melbourne,12492,17820,23032,26661,29929
South Morang,25233,26674,29444,32256,34675
South Yarra,38409,44311,49813,55635,61090
Southbank,20288,31840,41516,44421,47186
Springvale,22761,24954,27499,30558,33777
Springvale South,13227,13669,14168,14790,15483
St Albans,39089,41089,43107,45340,47816
St Kilda,28166,31432,33210,34642,36226
St Kilda East,17613,18534,18967,19431,19976
Strathmore,9968,10498,11058,11634,12253
Sunbury,40924,46226,52900,60940,70176
Sunshine,10241,11343,13686,16091,18418
Sunshine North,12123,13167,14412,15776,17261
Sunshine West,19533,20520,21592,22795,24132
Surrey Hills,27582,28610,29554,30571,31685
Sydenham,12585,12955,13283,13608,14028
Tarneit,36404,54969,72885,90142,108005
Taylors Hill,20218,21229,21519,21899,22405
Taylors Lakes,18455,18401,18413,18532,18729
Templestowe,17682,17881,18068,18311,18607
Templestowe Lower,14305,14843,15241,15638,16159
The Basin,4441,4542,4631,4722,4846
Thomastown,21485,21801,22478,23522,24745
Thornbury,19578,20764,21885,23038,24176
Toorak,14036,14325,14623,14996,15441
Truganina,24628,37786,44678,47476,49228
Tullamarine,6698,7015,7332,7689,8118
Upwey,10040,10022,10038,10096,10170
Vermont,10896,11347,11746,12148,12569
Vermont South,12251,12647,13001,13376,13797
Viewbank,9509,9519,9536,9619,9755
Yallambie,9509,9519,9536,9619,9755
Wallan,16747,22918,33084,47161,64025
Wandin,7884,8099,8334,8580,8846
Wantirna,14425,14927,15621,16220,16808
Wantirna South,18580,19098,20423,21628,22618
