suburb,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,stop_name,stop_lat,stop_lon
Carrum Downs,5829,5829,5829,5829,5829,0,5829,5829,5829,5829,5829,5829
Caulfield,2302,2302,2302,2302,2302,0,2302,2302,2302,2302,2302,2302
Caulfield East,1942,1942,1942,1942,1942,0,1942,1942,1822,1942,1942,1942
Caulfield North,6582,6582,6582,6582,6582,0,6582,6582,6582,6582,6582,6582
Caulfield South,2677,2677,2677,2677,2677,0,2677,2677,2677,2677,2677,2677
Chadstone,2022,2022,2022,2022,2022,0,2022,2022,2022,2022,2022,2022
Chelsea,1054,1054,1054,1054,1054,0,1054,1054,1054,1054,1054,1054
Chelsea Heights,1536,1536,1536,1536,1536,0,1536,1536,1536,1536,1536,1536
Cheltenham,6499,6499,6499,6499,6499,0,6499,6499,6499,6499,6499,6499
Chirnside Park,1643,1643,1643,1643,1643,0,1643,1643,1643,1643,1643,1643
Chum Creek,24,24,24,24,24,0,24,24,24,24,24,24
Clarinda,1556,1556,1556,1556,1556,0,1556,1556,1556,1556,1556,1556
Clayton,7371,7371,7371,7371,7371,0,7371,7371,7371,7371,7371,7371
Clayton South,3218,3218,3218,3218,3218,0,3218,3218,3218,3218,3218,3218
Clematis,150,150,150,150,150,0,150,150,150,150,150,150
Clifton Hill,2755,2755,2755,2755,2755,0,2755,2755,2755,2755,2755,2755
Clyde,545,545,545,545,545,0,545,545,545,545,545,545
Clyde North,2613,2613,2613,2613,2613,0,2613,2613,2613,2613,2613,2613
Cobblebank,186,186,186,186,186,0,186,186,186,186,186,186
Coburg,12220,12220,12220,12220,12220,0,12220,12220,12220,12220,12220,12220
Coburg North,2976,2976,2976,2976,2976,0,2976,2976,2976,2976,2976,2976
Cockatoo,360,360,360,360,360,0,360,360,360,360,360,360
Coldstream,130,130,130,130,130,0,130,130,130,130,130,130
Collingwood,3509,3509,3509,3509,3509,0,3509,3509,3509,3509,3509,3509
Coolaroo,2453,2453,2453,2453,2453,0,2453,2453,2453,2453,2453,2453
Craigieburn,10251,10251,10251,10251,10251,0,10251,10251,10251,10251,10251,10251
Cranbourne,5613,5613,5613,5613,5613,0,5613,5613,5613,5613,5613,5613
Cranbourne East,1983,1983,1983,1983,1983,0,1983,1983,1983,1983,1983,1983
Cranbourne North,2671,2671,2671,2671,2671,0,2671,2671,2671,2671,2671,2671
Cranbourne South,312,312,312,312,312,0,312,312,312,312,312,312
Cranbourne West,917,917,917,917,917,0,917,917,917,917,917,917
Cremorne,260,260,260,260,260,0,260,260,260,260,260,260
Crib Point,263,263,263,263,263,0,263,263,263,263,263,263
Croydon,6379,6379,6379,6379,6379,0,6379,6379,6379,6379,6379,6379
Croydon Hills,415,415,415,415,415,0,415,415,415,415,415,415
Croydon North,980,980,980,980,980,0,980,980,980,980,980,980
Croydon South,513,513,513,513,513,0,513,513,513,513,513,513
Dallas,1695,1695,1695,1695,1695,0,1695,1695,1695,1695,1695,1695
Dandenong,9848,9848,9848,9848,9848,0,9848,9848,9848,9848,9848,9848
Dandenong North,3649,3649,3649,3649,3649,0,3649,3649,3649,3649,3649,3649
Dandenong South,3857,3857,3857,3857,3857,0,3857,3857,3857,3857,3857,3857
Deer Park,3637,3637,3637,3637,3637,0,3637,3637,3637,3637,3637,3637
Delahey,911,911,911,911,911,0,911,911,911,911,911,911
Derrimut,725,725,725,725,725,0,725,725,725,725,725,725
Devon Meadows,125,125,125,125,125,0,125,125,125,125,125,125
Diamond Creek,1848,1848,1848,1848,1848,0,1848,1848,1848,1848,1848,1848
Diggers Rest,247,247,247,247,247,0,247,247,247,247,247,247
Dingley Village,1990,1990,1990,1990,1990,0,1990,1990,1990,1990,1990,1990
Docklands,6856,6856,6856,6856,6856,0,6856,6856,6856,6856,6856,6856
Doncaster,11771,11771,11771,11771,11771,0,11771,11771,11771,11771,11771,11771
Doncaster East,12292,12292,12292,12292,12292,0,12292,12292,12292,12292,12292,12292
Donnybrook,234,234,234,234,234,0,234,234,234,234,234,234
Donvale,3437,3437,3437,3437,3437,0,3437,3437,3437,3437,3437,3437
Doreen,3261,3261,3261,3261,3261,0,3261,3261,3261,3261,3261,3261
Doveton,1915,1915,1915,1915,1915,0,1915,1915,1915,1915,1915,1915
Dromana,895,895,895,895,895,0,895,895,895,895,895,895
Eaglemont,389,389,389,389,389,0,389,389,389,389,389,389
East Melbourne,6712,6712,6712,6712,6712,0,6712,6712,6712,6712,6712,6712
East Warburton,44,44,44,44,44,0,44,44,44,44,44,44
Edithvale,1476,1476,1476,1476,1476,0,1476,1476,1476,1476,1476,1476
Elsternwick,4370,4370,4370,4370,4370,0,4370,4370,4370,4370,4370,4370
Eltham,4299,4299,4299,4299,4299,0,4299,4299,4299,4299,4299,4299
Eltham North,838,838,838,838,838,0,838,838,838,838,838,838
Elwood,3297,3297,3297,3297,3297,0,3297,3297,3297,3297,3297,3297
Emerald,306,306,306,306,306,0,306,306,306,306,306,306
Endeavour Hills,4534,4534,4534,4534,4534,0,4534,4534,4534,4534,4534,4534
Epping,10683,10683,10683,10683,10683,0,10683,10683,10683,10683,10683,10683
Essendon,9688,9688,9688,9688,9688,0,9688,9688,9688,9688,9688,9688
Essendon North,683,683,683,683,683,0,683,683,683,683,683,683
Essendon West,671,671,671,671,671,0,671,671,671,671,671,671
Eumemmerring,262,262,262,262,262,0,262,262,262,262,262,262
Fairfield,2043,2043,2043,2043,2043,0,2043,2043,2043,2043,2043,2043
Fawkner,2538,2538,2538,2538,2538,0,2538,2538,2538,2538,2538,2538
Ferntree Gully,6343,6343,6343,6343,6343,0,6343,6343,6343,6343,6343,6343
Ferny Creek,363,363,363,363,363,0,363,363,363,363,363,363
Fitzroy,6566,6566,6566,6566,6566,0,6566,6566,6566,6566,6566,6566
Fitzroy North,5034,5034,5034,5034,5034,0,5034,5034,5034,5034,5034,5034
Flemington,2874,2874,2874,2874,2874,0,2874,2874,2874,2874,2874,2874
Flinders,24,24,24,24,24,0,24,24,24,24,24,24
Footscray,11439,11439,11439,11439,11439,0,11439,11439,11363,11439,11439,11439
Forest Hill,2948,2948,2948,2948,2948,0,2948,2948,2948,2948,2948,2948
Frankston,8662,8662,8662,8662,8662,0,8662,8662,8648,8662,8662,8662
Frankston North,1687,1687,1687,1687,1687,0,1687,1687,1687,1687,1687,1687
Frankston South,1978,1978,1978,1978,1978,0,1978,1978,1978,1978,1978,1978
Fraser Rise,200,200,200,200,200,0,200,200,200,200,200,200
Gardenvale,900,900,900,900,900,0,900,900,900,900,900,900
Garfield,101,101,101,101,101,0,101,101,101,101,101,101
Gembrook,425,425,425,425,425,0,425,425,425,425,425,425
Gladstone Park,2009,2009,2009,2009,2009,0,2009,2009,2009,2009,2009,2009
Glen Huntly,827,827,827,827,827,0,827,827,827,827,827,827
Glen Iris,4524,4524,4524,4524,4524,0,4524,4524,4524,4524,4524,4524
Glen Waverley,11422,11422,11422,11422,11422,0,11422,11422,11422,11422,11422,11422
Glenroy,2966,2966,2966,2966,2966,0,2966,2966,2966,2966,2966,2966
Gowanbrae,357,357,357,357,357,0,357,357,357,357,357,357
Greensborough,7204,7204,7204,7204,7204,0,7204,7204,7204,7204,7204,7204
Greenvale,2283,2283,2283,2283,2283,0,2283,2283,2283,2283,2283,2283
Hadfield,1798,1798,1798,1798,1798,0,1798,1798,1798,1798,1798,1798
Hallam,2407,2407,2407,2407,2407,0,2407,2407,2407,2407,2407,2407
Hampton,2572,2572,2572,2572,2572,0,2572,2572,2572,2572,2572,2572
Hampton East,783,783,783,783,783,0,783,783,783,783,783,783
Hampton Park,4415,4415,4415,4415,4415,0,4415,4415,4415,4415,4415,4415
Harkness,80,80,80,80,80,0,80,80,80,80,80,80
Hastings,501,501,501,501,501,0,501,501,501,501,501,501
Hawthorn,7793,7793,7793,7793,7793,0,7793,7793,7793,7793,7793,7793
Hawthorn East,4111,4111,4111,4111,4111,0,4111,4111,4111,4111,4111,4111
Healesville,479,479,479,479,479,0,479,479,479,479,479,479
Heatherton,1817,1817,1817,1817,1817,0,1817,1817,1817,1817,1817,1817
Heathmont,763,763,763,763,763,0,763,763,763,763,763,763
Heidelberg,2523,2523,2523,2523,2523,0,2523,2523,2437,2523,2523,2523
Heidelberg Heights,2704,2704,2704,2704,2704,0,2704,2704,2704,2704,2704,2704
Heidelberg West,3939,3939,3939,3939,3939,0,3939,3939,3939,3939,3939,3939
Highett,2414,2414,2414,2414,2414,0,2414,2414,2414,2414,2414,2414
Hillside,1884,1884,1884,1884,1884,0,1884,1884,1884,1884,1884,1884
Hoppers Crossing,7147,7147,7147,7147,7147,0,7147,7147,7147,7147,7147,7147
Hughesdale,2154,2154,2154,2154,2154,0,2154,2154,2154,2154,2154,2154
Humevale,94,94,94,94,94,0,94,94,94,94,94,94
Huntingdale,724,724,724,724,724,0,724,724,724,724,724,724
Hurstbridge,208,208,208,208,208,0,208,208,208,208,208,208
Ivanhoe,3453,3453,3453,3453,3453,0,3453,3453,3453,3453,3453,3453
Ivanhoe East,585,585,585,585,585,0,585,585,585,585,585,585
Jacana,443,443,443,443,443,0,443,443,443,443,443,443
Junction Village,53,53,53,53,53,0,53,53,53,53,53,53
Kalkallo,240,240,240,240,240,0,240,240,240,240,240,240
Kallista,100,100,100,100,100,0,100,100,100,100,100,100
Kalorama,348,348,348,348,348,0,348,348,348,348,348,348
Kangaroo Ground,236,236,236,236,236,0,236,236,236,236,236,236
Kealba,292,292,292,292,292,0,292,292,292,292,292,292
Keilor,1115,1115,1115,1115,1115,0,1115,1115,1115,1115,1115,1115
Keilor Downs,1410,1410,1410,1410,1410,0,1410,1410,1410,1410,1410,1410
Keilor East,4131,4131,4131,4131,4131,0,4131,4131,4131,4131,4131,4131
Keilor Lodge,44,44,44,44,44,0,44,44,44,44,44,44
Keilor North,24,24,24,24,24,0,24,24,24,24,24,24
Keilor Park,1205,1205,1205,1205,1205,0,1205,1205,1205,1205,1205,1205
Kensington,1834,1834,1834,1834,1834,0,1834,1834,1834,1834,1834,1834
Kew,9933,9933,9933,9933,9933,0,9933,9933,9933,9933,9933,9933
Kew East,4046,4046,4046,4046,4046,0,4046,4046,4046,4046,4046,4046
Keysborough,5280,5280,5280,5280,5280,0,5280,5280,5280,5280,5280,5280
Kilsyth,1703,1703,1703,1703,1703,0,1703,1703,1703,1703,1703,1703
Kilsyth South,560,560,560,560,560,0,560,560,560,560,560,560
Kings Park,711,711,711,711,711,0,711,711,711,711,711,711
Kingsbury,1798,1798,1798,1798,1798,0,1798,1798,1798,1798,1798,1798
Kingsville,378,378,378,378,378,0,378,378,378,378,378,378
Knoxfield,1871,1871,1871,1871,1871,0,1871,1871,1871,1871,1871,1871
Koo Wee Rup,55,55,55,55,55,0,55,55,55,55,55,55
Kooyong,722,722,722,722,722,0,722,722,722,722,722,722
Kurunjang,853,853,853,853,853,0,853,853,853,853,853,853
Lalor,3276,3276,3276,3276,3276,0,3276,3276,3276,3276,3276,3276
Lang Lang,32,32,32,32,32,0,32,32,32,32,32,32
Langwarrin,3469,3469,3469,3469,3469,0,3469,3469,3469,3469,3469,3469
Langwarrin South,65,65,65,65,65,0,65,65,65,65,65,65
Launching Place,261,261,261,261,261,0,261,261,261,261,261,261
Laverton,1581,1581,1581,1581,1581,0,1581,1581,1581,1581,1581,1581
Laverton North,1182,1182,1182,1182,1182,0,1182,1182,1182,1182,1182,1182
Lilydale,3478,3478,3478,3478,3478,0,3478,3478,3472,3478,3478,3478
Little River,70,70,70,70,70,0,70,70,70,70,70,70
Lower Plenty,505,505,505,505,505,0,505,505,505,505,505,505
Lynbrook,685,685,685,685,685,0,685,685,685,685,685,685
Lyndhurst,1075,1075,1075,1075,1075,0,1075,1075,1075,1075,1075,1075
Lysterfield,457,457,457,457,457,0,457,457,457,457,457,457
Macleod,1182,1182,1182,1182,1182,0,1182,1182,1182,1182,1182,1182
Maidstone,2476,2476,2476,2476,2476,0,2476,2476,2476,2476,2476,2476
Malvern,5752,5752,5752,5752,5752,0,5752,5752,5752,5752,5752,5752
Malvern East,5953,5953,5953,5953,5953,0,5953,5953,5953,5953,5953,5953
Manor Lakes,1482,1482,1482,1482,1482,0,1482,1482,1482,1482,1482,1482
Maribyrnong,6275,6275,6275,6275,6275,0,6275,6275,6275,6275,6275,6275
Meadow Heights,2537,2537,2537,2537,2537,0,2537,2537,2537,2537,2537,2537
Melbourne Airport,728,728,728,728,728,0,728,728,728,728,728,728
Melton,2497,2497,2497,2497,2497,0,2497,2497,2497,2497,2497,2497
Melton South,2049,2049,2049,2049,2049,0,2049,2049,2049,2049,2049,2049
Melton West,2108,2108,2108,2108,2108,0,2108,2108,2108,2108,2108,2108
Mentone,3938,3938,3938,3938,3938,0,3938,3938,3938,3938,3938,3938
Menzies Creek,180,180,180,180,180,0,180,180,180,180,180,180
Mernda,4510,4510,4510,4510,4510,0,4510,4510,4510,4510,4510,4510
Merricks,16,16,16,16,16,0,16,16,16,16,16,16
Mickleham,1382,1382,1382,1382,1382,0,1382,1382,1382,1382,1382,1382
Middle Park,2644,2644,2644,2644,2644,0,2644,2644,2644,2644,2644,2644
Mill Park,6333,6333,6333,6333,6333,0,6333,6333,6333,6333,6333,6333
Millgrove,107,107,107,107,107,0,107,107,107,107,107,107
Mitcham,4096,4096,4096,4096,4096,0,4096,4096,4096,4096,4096,4096
Monbulk,450,450,450,450,450,0,450,450,450,450,450,450
Mont Albert,1234,1234,1234,1234,1234,0,1234,1234,1234,1234,1234,1234
Mont Albert North,2031,2031,2031,2031,2031,0,2031,2031,2031,2031,2031,2031
Montmorency,2784,2784,2784,2784,2784,0,2784,2784,2784,2784,2784,2784
Montrose,1663,1663,1663,1663,1663,0,1663,1663,1663,1663,1663,1663
Moonee Ponds,6881,6881,6881,6881,6881,0,6881,6881,6881,6881,6881,6881
Moorabbin,2960,2960,2960,2960,2960,0,2960,2960,2854,2960,2960,2960
