suburb,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,stop_name,stop_lat,stop_lon
Sunshine,8163,8163,8163,8163,8163,0,8163,8163,8163,8163,8163,8163
Sunshine North,2425,2425,2425,2425,2425,0,2425,2425,2425,2425,2425,2425
Sunshine West,3175,3175,3175,3175,3175,0,3175,3175,3175,3175,3175,3175
Surrey Hills,4551,4551,4551,4551,4551,0,4551,4551,4551,4551,4551,4551
Sydenham,1501,1501,1501,1501,1501,0,1501,1501,1501,1501,1501,1501
Tarneit,6283,6283,6283,6283,6283,0,6283,6283,6283,6283,6283,6283
Taylors Hill,1014,1014,1014,1014,1014,0,1014,1014,1014,1014,1014,1014
Taylors Lakes,3136,3136,3136,3136,3136,0,3136,3136,3136,3136,3136,3136
Tecoma,320,320,320,320,320,0,320,320,320,320,320,320
Templestowe,7613,7613,7613,7613,7613,0,7613,7613,7613,7613,7613,7613
Templestowe Lower,4050,4050,4050,4050,4050,0,4050,4050,4050,4050,4050,4050
The Basin,405,405,405,405,405,0,405,405,405,405,405,405
The Patch,224,224,224,224,224,0,224,224,224,224,224,224
Thomastown,5842,5842,5842,5842,5842,0,5842,5842,5842,5842,5842,5842
Thornbury,6187,6187,6187,6187,6187,0,6187,6187,6187,6187,6187,6187
Tooradin,40,40,40,40,40,0,40,40,40,40,40,40
Toorak,5109,5109,5109,5109,5109,0,5109,5109,5109,5109,5109,5109
Tootgarook,595,595,595,595,595,0,595,595,595,595,595,595
Tottenham,342,342,342,342,342,0,342,342,342,342,342,342
Travancore,131,131,131,131,131,0,131,131,131,131,131,131
Tremont,88,88,88,88,88,0,88,88,88,88,88,88
Truganina,2236,2236,2236,2236,2236,0,2236,2236,2236,2236,2236,2236
Tullamarine,2546,2546,2546,2546,2546,0,2546,2546,2546,2546,2546,2546
Tyabb,212,212,212,212,212,0,212,212,212,212,212,212
Tynong,76,76,76,76,76,0,76,76,76,76,76,76
Upper Ferntree Gully,763,763,763,763,763,0,763,763,763,763,763,763
Upwey,474,474,474,474,474,0,474,474,474,474,474,474
Vermont,1774,1774,1774,1774,1774,0,1774,1774,1774,1774,1774,1774
Vermont South,3480,3480,3480,3480,3480,0,3480,3480,3480,3480,3480,3480
Viewbank,857,857,857,857,857,0,857,857,857,857,857,857
Wandin North,329,329,329,329,329,0,329,329,329,329,329,329
Wantirna,2859,2859,2859,2859,2859,0,2859,2859,2859,2859,2859,2859
Wantirna South,5855,5855,5855,5855,5855,0,5855,5855,5855,5855,5855,5855
Warburton,267,267,267,267,267,0,267,267,267,267,267,267
Warneet,32,32,32,32,32,0,32,32,32,32,32,32
Warrandyte,3803,3803,3803,3803,3803,0,3803,3803,3803,3803,3803,3803
Warrandyte South,133,133,133,133,133,0,133,133,133,133,133,133
Warranwood,848,848,848,848,848,0,848,848,848,848,848,848
Waterways,225,225,225,225,225,0,225,225,225,225,225,225
Watsonia,1315,1315,1315,1315,1315,0,1315,1315,1315,1315,1315,1315
Watsonia North,984,984,984,984,984,0,984,984,984,984,984,984
Wattle Glen,172,172,172,172,172,0,172,172,172,172,172,172
Werribee,7845,7845,7845,7845,7845,0,7845,7845,7845,7845,7845,7845
Werribee South,223,223,223,223,223,0,223,223,223,223,223,223
Wesburn,215,215,215,215,215,0,215,215,215,215,215,215
West Footscray,3818,3818,3818,3818,3818,0,3818,3818,3818,3818,3818,3818
West Melbourne,4808,4808,4808,4808,4808,0,4808,4808,4424,4808,4808,4808
Westmeadows,2028,2028,2028,2028,2028,0,2028,2028,2028,2028,2028,2028
Wheelers Hill,4217,4217,4217,4217,4217,0,4217,4217,4217,4217,4217,4217
Whittlesea,734,734,734,734,734,0,734,734,734,734,734,734
Williams Landing,1893,1893,1893,1893,1893,0,1893,1893,1893,1893,1893,1893
Williamstown,3607,3607,3607,3607,3607,0,3607,3607,3607,3607,3607,3607
Williamstown North,260,260,260,260,260,0,260,260,260,260,260,260
Windsor,2175,2175,2175,2175,2175,0,2175,2175,2175,2175,2175,2175
Wollert,1404,1404,1404,1404,1404,0,1404,1404,1404,1404,1404,1404
Wonga Park,594,594,594,594,594,0,594,594,594,594,594,594
Woori Yallock,304,304,304,304,304,0,304,304,304,304,304,304
Wyndham Vale,1801,1801,1801,1801,1801,0,1801,1801,1801,1801,1801,1801
Yallambie,733,733,733,733,733,0,733,733,733,733,733,733
Yan Yean,440,440,440,440,440,0,440,440,440,440,440,440
Yarra Glen,56,56,56,56,56,0,56,56,56,56,56,56
Yarra Junction,322,322,322,322,322,0,322,322,322,322,322,322
Yarrambat,849,849,849,849,849,0,849,849,849,849,849,849
Yarraville,3612,3612,3612,3612,3612,0,3612,3612,3612,3612,3612,3612
