,Area Name,Total Growth,Total Growth %,suburb,stop_id,GCCSA
206,Pakenham - South,10818.0,0.36572008113590304,,,2GMEL
207,Berwick - North,2845.0,0.119417394224312,,,2GMEL
208,Berwick - South,12796.0,0.476147949691151,,,2GMEL
212,Endeavour Hills - North,462.0,0.036962957036562896,,,2GMEL
213,Endeavour Hills - South,27.0,0.00190677966101695,,,2GMEL
214,Narre Warren - North East,1462.0,0.104675306078614,,,2GMEL
215,Narre Warren - South West,3052.0,0.20984598459846,,,2GMEL
221,Hampton Park - Lynbrook,2762.0,0.103136669156087,,,2GMEL
222,Lynbrook - Lyndhurst,5279.0,0.328561648098587,,,2GMEL
223,Pearcedale - Tooradin,1171.0,0.1457373988799,,,2GMEL
224,Narre Warren South (East),739.0,0.0538904688981259,,,2GMEL
225,Narre Warren South (West),1176.0,0.0671501170559013,,,2GMEL
226,Clarinda - Oakleigh South,802.0,0.0650815548161974,,,2GMEL
235,Noble Park - East,5718.0,0.437390040541574,,,2GMEL
236,Noble Park - West,5992.0,0.308309750450219,,,2GMEL
237,Ashwood - Chadstone,7020.0,0.36357986326911107,,,2GMEL
239,Glen Waverley - East,2378.0,0.10734437773665,,,2GMEL
240,Glen Waverley - West,7124.0,0.353530842141829,,,2GMEL
241,Mount Waverley - North,2996.0,0.186631782221392,,,2GMEL
242,Mount Waverley - South,5302.0,0.274843191125395,,,2GMEL
244,Oakleigh - Huntingdale,8806.0,0.389353141442278,,,2GMEL
246,Ardeer - Albion,2747.0,0.334918312606681,,,2GMEL
248,Deer Park - Derrimut,3212.0,0.11664729808251,,,2GMEL
252,St Albans - North,5600.0,0.265856437523737,,,2GMEL
253,St Albans - South,3127.0,0.173481276005548,,,2GMEL
268,Seddon - Kingsville,1915.0,0.197199052620739,,,2GMEL
269,West Footscray - Tottenham,3535.0,0.293166362580859,,,2GMEL
271,Bacchus Marsh,15017.0,0.715470008099481,,,2GMEL
276,Rockbank - Mount Cottrell,62106.0,19.7287166454892,,,2GMEL
