,Unnamed: 0,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %,Lat,Lon,place_id,addr_1,addr-2,Confidence,Municipality,Suburb_geoapify,bbox_lat1,bbox_lat2,bbox_lon1,bbox_lon2
19,1018.0,Beaconsfield - Officer,13612.0,25467.0,36250.0,43984.0,49252.0,2GMEL,35640.0,2.61827799,-38.0601977,145.4099219,51414d88141e2d624059b065e88eb40743c0f00101f901da24250000000000c00205,Officer,Officer,1.0,Shire of Cardinia,Officer,-38.083262,-38.013286,145.375867,145.441971
20,162.0,Beaumaris,14250.0,14916.0,15314.0,15710.0,16130.0,2GMEL,1880.0,0.131929825,-37.9822122,145.0389098,51cecfc3bf3e21624059b95d1e21b9fd42c0f00101f90112c9240000000000c00205,Beaumaris,Beaumaris,1.0,City of Bayside,Beaumaris,-37.996474,-37.970756,145.023796,145.054235
21,1006.0,Belgrave,5227.0,5217.0,5224.0,5240.0,5265.0,2GMEL,38.0,0.007269945,-37.912056,145.3552263,51bba58b035e2b6240596f0f4240bef442c0f00101f901f0fc240000000000c00205,Belgrave,Belgrave,1.0,Shire of Yarra Ranges,Belgrave,-37.925463,-37.89864,145.34003,145.371565
22,,Selby,5227.0,5217.0,5224.0,5240.0,5265.0,2GMEL,38.0,0.007269945,-37.9187608,145.3784097,51a7bfa8ee1b2c624059646c32f499f542c0f00101f901b202250000000000c00205,Selby,Selby,1.0,Shire of Yarra Ranges,Selby,-37.934036,-37.901251,145.359643,145.396767
23,,Bentleigh,52835.0,56344.0,60427.0,65105.0,68984.0,2GMEL,16149.0,0.305649664,-37.9185101,145.0409246,5143531b414f21624059d9452cbd91f542c0f00101f901699d240000000000c00205,Bentleigh,Bentleigh,1.0,City of Glen Eira,Bentleigh,-37.934728,-37.91081,145.022458,145.052364
24,,Berwick,103533.0,111218.0,119118.0,127705.0,135323.0,2GMEL,31790.0,0.307051858,-38.0403826,145.3481493,510234000a242b624059ea29cd412b0543c0f00101f901db0f250000000000c00205,Berwick,Berwick,1.0,City of Casey,Berwick,-38.079591,-38.004604,145.313312,145.38535
25,155.0,Blackburn,22291.0,23789.0,24899.0,26196.0,27533.0,2GMEL,5242.0,0.235162173,-37.8217009,145.152276,51e7feea71df24624059014cbe7e2de942c0f00101f9010678240000000000c00205,Blackburn,Blackburn,1.0,City of Whitehorse,Blackburn,-37.833951,-37.809144,145.136298,145.1677703
26,156.0,Blackburn South,11229.0,11430.0,11652.0,11980.0,12351.0,2GMEL,1122.0,0.09991985,-37.8388322,145.1487848,518a4457d8c22462405976ea80da5eeb42c0f00101f901f48d240000000000c00205,Blackburn South,Blackburn South,1.0,City of Whitehorse,Blackburn South,-37.84811,-37.830408,145.133173,145.160069
27,987.0,Boronia,22918.0,24174.0,25580.0,27123.0,28906.0,2GMEL,5988.0,0.26127934399999997,-37.8563043,145.2859658,51c9d8bfa126296240594bf619619bed42c0f00101f9010bc8240000000000c00205,Boronia,Boronia,1.0,City of Knox,Boronia,-37.874306,-37.833327,145.250369,145.317974
28,157.0,Box Hill,20839.0,25748.0,29766.0,33207.0,36258.0,2GMEL,15419.0,0.739910744,-37.8215116,145.1261267,51e074dc3a09246240596fa4c74a27e942c0f00101f9018860240000000000c00205,Box Hill,Box Hill,1.0,City of Whitehorse,Box Hill,-37.830401,-37.8126,145.112901,145.139453
29,158.0,Box Hill North,18466.0,19084.0,19583.0,20245.0,20938.0,2GMEL,2472.0,0.133867649,-37.8056831,145.1295748,51580c0d7a25246240594fb8b29f20e742c0f00101f9018b60240000000000c00205,Box Hill North,Box Hill North,1.0,City of Whitehorse,Box Hill North,-37.815424,-37.795327,145.115804,145.142635
30,1082.0,Braybrook,19224.0,21233.0,23543.0,25942.0,28665.0,2GMEL,9441.0,0.491104869,-37.7867076,144.8548451,51ab741ce45a1b624059e0c1aad5b2e442c0f00101f901f1ac240000000000c00205,Braybrook,Braybrook,1.0,City of Maribyrnong,Braybrook,-37.799539,-37.769768,144.841783,144.865933
31,163.0,Brighton,24353.0,25673.0,26367.0,27096.0,27915.0,2GMEL,3562.0,0.146265347,-37.9081962,144.9957991,515cfc1296dd1f624059fdace8c53ff442c0f00101f9019b9f240000000000c00205,Brighton,Brighton,1.0,City of Bayside,Brighton,-37.932788,-37.883273,144.980034,145.00868
32,164.0,Brighton East,16718.0,17274.0,17713.0,18196.0,18749.0,2GMEL,2031.0,0.121485824,-37.9171728,145.0163663,5135689e128620624059f06316eb65f542c0f00101f9019b9d240000000000c00205,Brighton East,Brighton East,1.0,City of Bayside,Brighton East,-37.933027,-37.899821,145.00449,145.034393
33,966.0,Broadmeadows,13916.0,15280.0,16847.0,18714.0,21013.0,2GMEL,7097.0,0.509988502,-37.6832769,144.9323037,5113ae916ed51d6240595fce119e75d742c0f00101f9018297240000000000c00205,Broadmeadows,Broadmeadows,1.0,City of Hume,Broadmeadows,-37.69468,-37.663095,144.903279,144.957002
34,102.0,Brunswick,27435.0,31237.0,33919.0,36489.0,39114.0,2GMEL,11679.0,0.42569710200000005,-37.7664715,144.9613103,51db79d10dc31e62405975e8f4bc1be242c0f00101f901735d240000000000c00205,Brunswick,Brunswick,1.0,City of Merri-bek,Brunswick,-37.779153,-37.754231,144.948727,144.976983
35,103.0,Brunswick East,11716.0,14933.0,16282.0,17791.0,19327.0,2GMEL,7611.0,0.649624445,-37.7688802,144.9776825,51e36bcf2c491f6240595ec598aa6ae242c0f00101f9014d5d240000000000c00205,Brunswick East,Brunswick East,1.0,City of Merri-bek,Brunswick East,-37.780073,-37.756921,144.970155,144.986849
36,104.0,Brunswick West,14523.0,16503.0,17161.0,17950.0,18767.0,2GMEL,4244.0,0.292226124,-37.7633334,144.9425563,517164d46b291e624059e578aae8b4e142c0f00101f9019263240000000000c00205,Brunswick West,Brunswick West,1.0,City of Merri-bek,Brunswick West,-37.776768,-37.751073,144.926719,144.95386
37,149.0,Bulleen,11565.0,12110.0,12726.0,13385.0,14118.0,2GMEL,2553.0,0.22075227,-37.7688992,145.0871992,519807fa55ca22624059d5f5fa496be242c0f00101f901f257240000000000c00205,Bulleen,Bulleen,1.0,City of Manningham,Bulleen,-37.782612,-37.751372,145.067197,145.104225
38,936.0,Bundoora,6456.0,6914.0,7382.0,7862.0,8356.0,2GMEL,1900.0,0.294299876,-37.6982468,145.0596757,51b67b03dde821624059b144b12660d942c0f00101f9017b59240000000000c00205,Bundoora,Bundoora,1.0,City of Banyule,Bundoora,-37.729176,-37.676475,145.02533,145.103656
39,1094.0,Burnside,4943.0,5422.0,6109.0,6339.0,6487.0,2GMEL,1544.0,0.312360914,-37.749374,144.753027,51294014cc1818624059823cbb7cebdf42c0f00101f9013efc240000000000c00205,Burnside,Burnside,1.0,City of Melton,Burnside,-37.763454,-37.73695,144.742005,144.762936
40,1095.0,Burnside Heights,6431.0,6842.0,7241.0,7550.0,7665.0,2GMEL,1234.0,0.19188306600000002,-37.7324225,144.7555804,51f56ff2b62d18624059622d3e05c0dd42c0f00101f90143fc240000000000c00205,Burnside Heights,Burnside Heights,1.0,City of Melton,Burnside Heights,-37.742002,-37.723957,144.747748,144.764096
41,159.0,Burwood,12900.0,15036.0,16225.0,17536.0,19035.0,2GMEL,6135.0,0.475581395,-37.849578,145.1113915,51ad31e884902362405957b3cef8beec42c0f00101f9010978240000000000c00205,Burwood,Burwood,1.0,City of Whitehorse,Burwood,-37.861087,-37.835978,145.093744,145.133485
42,160.0,Burwood East,10772.0,11722.0,13468.0,15131.0,16715.0,2GMEL,5943.0,0.551708132,-37.8535935,145.150423,511e32e543d024624059024a438d42ed42c0f00101f9019a8e240000000000c00205,Burwood East,Burwood East,1.0,City of Whitehorse,Burwood East,-37.862005,-37.845444,145.131405,145.169265
