,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %
353,Delahey,8841.0,8903.0,8997.0,9155.0,9378.0,2GMEL,537.0,0.060739735324058367
354,Keilor Downs,13943.0,13933.0,14035.0,14210.0,14457.0,2GMEL,514.0,0.03686437638958617
355,Kings Park (Vic.),14447.0,14784.0,15155.0,15576.0,16046.0,2GMEL,1599.0,0.11068041807987818
356,St Albans - North,21064.0,22319.0,23657.0,25104.0,26664.0,2GMEL,5600.0,0.26585643752373717
357,St Albans - South,18025.0,18770.0,19450.0,20236.0,21152.0,2GMEL,3127.0,0.17348127600554786
358,Sunshine,10241.0,11343.0,13686.0,16091.0,18418.0,2GMEL,8177.0,0.7984571819158285
359,Sunshine North,12123.0,13167.0,14412.0,15776.0,17261.0,2GMEL,5138.0,0.42382248618328794
360,Sunshine West,19533.0,20520.0,21592.0,22795.0,24132.0,2GMEL,4599.0,0.23544770388573183
361,Sydenham,12585.0,12955.0,13283.0,13608.0,14028.0,2GMEL,1443.0,0.11466030989272943
362,Taylors Lakes,18455.0,18401.0,18413.0,18532.0,18729.0,2GMEL,274.0,0.014846924952587374
363,Altona,13206.0,14245.0,15099.0,15926.0,16739.0,2GMEL,3533.0,0.26752991064667575
364,Altona Meadows,20106.0,20593.0,21088.0,21573.0,22063.0,2GMEL,1957.0,0.09733412911568685
365,Altona North,14787.0,16317.0,19616.0,22949.0,25727.0,2GMEL,10940.0,0.7398390478122675
366,Newport,18523.0,19888.0,21010.0,22176.0,23377.0,2GMEL,4854.0,0.2620525832748475
367,Seabrook,5408.0,5609.0,5763.0,5927.0,6099.0,2GMEL,691.0,0.12777366863905326
368,Williamstown,16389.0,17614.0,18513.0,19323.0,20139.0,2GMEL,3750.0,0.2288120080541827
369,Braybrook,19224.0,21233.0,23543.0,25942.0,28665.0,2GMEL,9441.0,0.4911048689138577
370,Footscray,17343.0,23424.0,32211.0,39266.0,44492.0,2GMEL,27149.0,1.5654154413884565
371,Maribyrnong,12950.0,14713.0,18384.0,22312.0,25011.0,2GMEL,12061.0,0.9313513513513514
372,Seddon - Kingsville,9711.0,10143.0,10481.0,10982.0,11626.0,2GMEL,1915.0,0.19719905262073936
373,West Footscray - Tottenham,12058.0,13202.0,14050.0,14801.0,15593.0,2GMEL,3535.0,0.2931663625808592
374,Yarraville,15656.0,17009.0,18638.0,20269.0,22077.0,2GMEL,6421.0,0.41013030148185997
375,Bacchus Marsh,20989.0,24717.0,28362.0,32090.0,36006.0,2GMEL,15017.0,0.7154700080994807
376,Hillside,21305.0,27393.0,37029.0,50913.0,65225.0,2GMEL,43920.0,2.061487913635297
377,Melton,19560.0,21200.0,22284.0,23355.0,24674.0,2GMEL,5114.0,0.2614519427402863
378,Melton South,24243.0,34384.0,46165.0,58355.0,70474.0,2GMEL,46231.0,1.9069834591428454
379,Melton West,18157.0,22197.0,24450.0,26552.0,29167.0,2GMEL,11010.0,0.6063777055681004
380,Rockbank - Mount Cottrell,3148.0,13995.0,28235.0,45791.0,65254.0,2GMEL,62106.0,19.7287166454892
381,Taylors Hill,20218.0,21229.0,21519.0,21899.0,22405.0,2GMEL,2187.0,0.1081709367889999
382,Burnside,4943.0,5422.0,6109.0,6339.0,6487.0,2GMEL,1544.0,0.3123609144244386
383,Burnside Heights,6431.0,6842.0,7241.0,7550.0,7665.0,2GMEL,1234.0,0.19188306639713887
384,Caroline Springs,20968.0,21924.0,22442.0,22721.0,22997.0,2GMEL,2029.0,0.09676650133536818
385,Hoppers Crossing - North,20172.0,20510.0,20843.0,21237.0,21715.0,2GMEL,1543.0,0.076492167360698
386,Hoppers Crossing - South,20220.0,20704.0,20980.0,21331.0,21782.0,2GMEL,1562.0,0.07725024727992087
387,Laverton,9385.0,12793.0,13840.0,14690.0,15648.0,2GMEL,6263.0,0.6673415023974427
388,Tarneit,36404.0,54969.0,72885.0,90142.0,108005.0,2GMEL,71601.0,1.9668443028238656
389,Truganina,24628.0,37786.0,44678.0,47476.0,49228.0,2GMEL,24600.0,0.9988630826701316
390,Werribee - South,11776.0,17116.0,20836.0,24655.0,28856.0,2GMEL,17080.0,1.450407608695652
391,Wyndham Vale,24270.0,33524.0,44369.0,55077.0,65947.0,2GMEL,41677.0,1.7172229089410795
392,Point Cook - East,12818.0,19601.0,21479.0,22269.0,23083.0,2GMEL,10265.0,0.8008269620845686
393,Point Cook - North,24288.0,25725.0,26250.0,26627.0,27028.0,2GMEL,2740.0,0.1128129117259552
394,Point Cook - South,15147.0,20394.0,23098.0,26693.0,30303.0,2GMEL,15156.0,1.0005941770647653
395,Werribee - East,20643.0,21228.0,21896.0,22684.0,23681.0,2GMEL,3038.0,0.14716853170566294
396,Werribee - West,12283.0,19413.0,29304.0,39841.0,50393.0,2GMEL,38110.0,3.1026622160709922
397,Carrum Downs,21549.0,22951.0,24262.0,25610.0,26996.0,2GMEL,5447.0,0.2527727504756601
398,Frankston,23510.0,25053.0,26456.0,27949.0,29613.0,2GMEL,6103.0,0.2595916631220757
399,Frankston North,19939.0,20203.0,20680.0,21389.0,22268.0,2GMEL,2329.0,0.11680625909022518
400,Frankston South,18995.0,19561.0,20090.0,20702.0,21423.0,2GMEL,2428.0,0.1278231113450908
401,Langwarrin,24694.0,25883.0,26887.0,27735.0,28684.0,2GMEL,3990.0,0.16157771118490322
402,Seaford (Vic.),17151.0,17924.0,18856.0,20063.0,21408.0,2GMEL,4257.0,0.2482071016267273
403,Skye - Sandhurst,13664.0,14253.0,14651.0,15024.0,15395.0,2GMEL,1731.0,0.12668325526932084
404,Dromana,11454.0,12899.0,13947.0,15014.0,16128.0,2GMEL,4674.0,0.40806705081194344
405,Flinders,5642.0,5693.0,5797.0,5937.0,6110.0,2GMEL,468.0,0.08294930875576037
406,Hastings - Somers,22851.0,24496.0,26100.0,27816.0,29788.0,2GMEL,6937.0,0.3035753358715155
407,Mornington,25030.0,26542.0,28039.0,29653.0,31386.0,2GMEL,6356.0,0.25393527766679985
408,Mount Eliza,18696.0,19338.0,19992.0,20702.0,21470.0,2GMEL,2774.0,0.1483739837398374
409,Mount Martha,19365.0,20527.0,21847.0,23396.0,25179.0,2GMEL,5814.0,0.30023237800154917
410,Point Nepean,17999.0,18644.0,19176.0,19591.0,20061.0,2GMEL,2062.0,0.1145619201066726
411,Rosebud - McCrae,21613.0,22990.0,24450.0,25995.0,27629.0,2GMEL,6016.0,0.27835099245824274
412,Somerville,18878.0,19793.0,20719.0,21626.0,22616.0,2GMEL,3738.0,0.1980082635872444
