,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %
90,Doreen,21801,29130,31384,32343,32974,11173,0.5124994266318059
91,Doveton,11867,12751,13613,14635,15913,4046,0.340945479059577
92,Dromana,11454,12899,13947,15014,16128,4674,0.40806705081194344
93,East Melbourne,5475,6188,6519,6904,7300,1825,0.3333333333333333
94,Edithvale,6688,6959,7233,7506,7815,1127,0.16851076555023922
95,Aspendale,6688,6959,7233,7506,7815,1127,0.16851076555023922
96,Elsternwick,12110,12955,13705,14425,15242,3132,0.25862923203963667
97,Eltham,24008,24354,24743,25197,25717,1709,0.0711846051316228
98,Elwood,16382,16959,17497,18162,18905,2523,0.1540104993285313
99,Emerald,9290,9545,9809,10085,10392,1102,0.11862217438105489
100,Cockatoo,9290,9545,9809,10085,10392,1102,0.11862217438105489
101,Endeavour Hills,26659,26536,26605,26818,27148,489,0.018342773547394876
102,Epping,33912,36343,39086,42332,44036,10124,0.29853739089407877
103,Essendon,28946,31880,33686,35810,37989,9043,0.31240931389483867
104,Essendon West,7250,7966,8584,9263,10006,2756,0.38013793103448273
105,Fawkner,14460,15544,16582,17596,18685,4225,0.2921853388658368
107,Fitzroy,11259,12107,13059,13980,14970,3711,0.3296029842792433
108,Fitzroy North,13129,14019,14865,15733,16675,3546,0.270089115698073
109,Flemington,10734,11754,12787,13856,14946,4212,0.3923979877026272
110,Flemington Bridge,91,121,982,2668,3214,3123,34.31868131868132
111,Flinders,5642,5693,5797,5937,6110,468,0.08294930875576037
112,Footscray,17343,23424,32211,39266,44492,27149,1.5654154413884565
113,Forest Hill,11074,11624,12205,12829,13473,2399,0.21663355607729817
114,Frankston,23510,25053,26456,27949,29613,6103,0.2595916631220757
115,Frankston North,19939,20203,20680,21389,22268,2329,0.11680625909022518
116,Frankston South,18995,19561,20090,20702,21423,2428,0.1278231113450908
117,Gisborne,13312,15097,16783,18489,20272,6960,0.5228365384615384
118,Gladstone Park,18353,18971,19551,20160,20916,2563,0.13965019342886723
119,Glen Iris,17182,17955,18639,19326,20118,2936,0.17087649866138982
120,Glen Waverley,42304,44659,46929,49305,51806,9502,0.2246123298033283
121,Glenroy,23153,25544,27739,29874,32250,9097,0.39290804647345917
122,Gowanbrae,3042,3278,3540,3831,4153,1111,0.36522024983563445
123,Greensborough,21348,22004,22624,23330,24122,2774,0.12994191493348323
124,Greenvale,8562,10953,13557,15732,17564,9002,1.0513898621817332
125,Hadfield,5911,6633,7206,7788,8407,2496,0.4222635763830147
126,Hallam,11335,12000,12681,13526,14511,3176,0.28019408910454346
127,Hampton,18611,19607,20563,21501,22425,3814,0.2049325667615926
128,Hampton Park,13390,13908,14162,14435,14771,1381,0.10313666915608663
129,Lynbrook,13390,13908,14162,14435,14771,1381,0.10313666915608663
130,Hastings,11426,12248,13050,13908,14894,3468,0.3035182916156135
131,Somers,11426,12248,13050,13908,14894,3468,0.3035182916156135
132,Hawthorn,24548,26535,28479,30463,32196,7648,0.31155287599804465
133,Hawthorn East,16192,18065,19492,20847,22233,6041,0.3730854743083004
134,Heidelberg,15532,17258,18986,20639,22283,6751,0.4346510430079835
135,Heidelberg West,14806,16137,17273,18236,19325,4519,0.3052141023909226
136,Hillside,21305,27393,37029,50913,65225,43920,2.061487913635297
137,Hoppers Crossing,40392,41214,41823,42568,43497,3105,0.0768716577540107
138,Hughesdale,8038,8639,9225,9801,10392,2354,0.2928589201293854
139,Hurstbridge,3605,3615,3677,3770,3869,264,0.07323162274618586
140,Ivanhoe,11998,13341,14437,15454,16394,4396,0.3663943990665111
141,Ivanhoe East,8119,8234,8380,8613,8910,791,0.09742579135361498
142,Keilor,8993,9353,9669,9975,10321,1328,0.1476704103191371
143,Keilor Downs,13943,13933,14035,14210,14457,514,0.03686437638958617
144,Keilor East,27399,29174,30911,32644,34525,7126,0.2600824847622176
145,Kensington,11530,12384,13215,15175,16674,5144,0.4461405030355594
146,Kew,26504,27586,28584,29726,30964,4460,0.1682764865680652
147,Kew East,6855,7075,7324,7609,7931,1076,0.15696571845368346
148,Keysborough,27471,32532,36093,37937,39749,12278,0.446944050089185
149,Kilsyth,9470,10176,10675,11127,11595,2125,0.22439281942977823
150,Kings Park,14447,14784,15155,15576,16046,1599,0.11068041807987818
151,Kingsbury,11965,13109,14057,14826,15678,3713,0.31032177183451737
152,Knoxfield,15752,17527,19306,21157,23138,7386,0.46889283900457085
153,Koo Wee Rup,7666,9494,11036,12424,13705,6039,0.7877641534046439
