GCCSA,Area Name,Total
2RVIC,Lakes Entrance,10038.00
2RVIC,Orbost,6497.00
2RVIC,Paynesville,6374.00
2RVIC,Foster,8910.00
2RVIC,French Island,114.00
2RVIC,Korumburra,9253.00
2RVIC,Leongatha,11202.00
2RVIC,Phillip Island,10686.00
2RVIC,Wilsons Promontory,0.00
2RVIC,Wonthaggi - Inverloch,22577.00
2RVIC,Churchill,11594.00
2RVIC,Moe - Newborough,16840.00
2RVIC,Morwell,14024.00
2RVIC,Traralgon,27361.00
2RVIC,Yallourn North - Glengarry,4643.00
2RVIC,Alps - West,0.00
2RVIC,Longford - Loch Sport,4367.00
2RVIC,Maffra,13997.00
2RVIC,Rosedale,4791.00
2RVIC,Sale,14891.00
2RVIC,Yarram,5371.00
2GMEL,Brunswick,27435.00
2GMEL,Brunswick East,11716.00
2GMEL,Brunswick West,14523.00
2GMEL,Coburg,27802.00
2GMEL,Pascoe Vale South,10465.00
2GMEL,Alphington - Fairfield,9434.00
2GMEL,Northcote,26424.00
2GMEL,Thornbury,19578.00
2GMEL,Ascot Vale,15497.00
2GMEL,Essendon - Aberfeldie,28946.00
2GMEL,Flemington,10734.00
2GMEL,Moonee Ponds,15158.00
2GMEL,Carlton,20242.00
2GMEL,Docklands,11832.00
2GMEL,East Melbourne,5475.00
2GMEL,Flemington Racecourse,91.00
2GMEL,Kensington (Vic.),11530.00
2GMEL,Melbourne,40181.00
2GMEL,North Melbourne,22106.00
2GMEL,Parkville,7898.00
2GMEL,South Yarra - West,6453.00
2GMEL,Southbank,20288.00
2GMEL,West Melbourne,3.00
2GMEL,Albert Park,16490.00
2GMEL,Elwood,16382.00
2GMEL,Port Melbourne,17469.00
2GMEL,Port Melbourne Industrial,25.00
2GMEL,South Melbourne,12492.00
2GMEL,St Kilda,28166.00
2GMEL,St Kilda East,17613.00
2GMEL,Armadale,9619.00
2GMEL,Prahran - Windsor,21275.00
2GMEL,South Yarra - East,22350.00
2GMEL,Toorak,14036.00
2GMEL,Abbotsford,8770.00
2GMEL,Carlton North - Princes Hill,9058.00
2GMEL,Collingwood,9235.00
2GMEL,Fitzroy,11259.00
2GMEL,Fitzroy North,13129.00
2GMEL,Richmond (Vic.),32686.00
2GMEL,Yarra - North,9606.00
2GMEL,Ashburton (Vic.),8104.00
2GMEL,Balwyn,16679.00
2GMEL,Balwyn North,21440.00
2GMEL,Camberwell,22646.00
2GMEL,Glen Iris - East,17182.00
2GMEL,Hawthorn,24548.00
2GMEL,Hawthorn East,16192.00
2GMEL,Kew,26504.00
2GMEL,Kew East,6855.00
2GMEL,Surrey Hills (West) - Canterbury,17126.00
2GMEL,Bulleen,11565.00
2GMEL,Doncaster,21885.00
2GMEL,Templestowe,17682.00
2GMEL,Templestowe Lower,14305.00
2GMEL,Doncaster East (North),15328.00
2GMEL,Doncaster East (South),14596.00
2GMEL,Blackburn,22291.00
2GMEL,Blackburn South,11229.00
2GMEL,Box Hill,20839.00
2GMEL,Box Hill North,18466.00
2GMEL,Burwood,12900.00
2GMEL,Burwood East,10772.00
2GMEL,Surrey Hills (East) - Mont Albert,10456.00
2GMEL,Beaumaris,14250.00
2GMEL,Brighton (Vic.),24353.00
2GMEL,Brighton East,16718.00
2GMEL,Cheltenham - Highett (West),11463.00
2GMEL,Hampton,18611.00
2GMEL,Sandringham - Black Rock,17517.00
2GMEL,Bentleigh - McKinnon,23586.00
2GMEL,Carnegie,19091.00
2GMEL,Caulfield - North,22288.00
2GMEL,Caulfield - South,18393.00
2GMEL,Elsternwick,12110.00
2GMEL,Hughesdale,8038.00
2GMEL,Murrumbeena,9809.00
2GMEL,Ormond - Glen Huntly,14057.00
2GMEL,Bentleigh East (North),15482.00
2GMEL,Bentleigh East (South),13767.00
2GMEL,Aspendale Gardens - Waterways,9427.00
2GMEL,Braeside,60.00
2GMEL,Carrum - Patterson Lakes,12111.00
2GMEL,Chelsea - Bonbeach,14833.00
2GMEL,Chelsea Heights,5538.00
2GMEL,Cheltenham - Highett (East),23449.00
2GMEL,Edithvale - Aspendale,13376.00
2GMEL,Mentone,13695.00
2GMEL,Moorabbin - Heatherton,9253.00
2GMEL,Moorabbin Airport,0.00
2GMEL,Mordialloc - Parkdale,20969.00
2GMEL,Malvern - Glen Iris,21148.00
2GMEL,Malvern East,22575.00
2GMEL,Bundoora - East,10292.00
2GMEL,Greensborough,21348.00
2GMEL,Heidelberg - Rosanna,15532.00
2GMEL,Heidelberg West,14806.00
2GMEL,Ivanhoe,11998.00
2GMEL,Ivanhoe East - Eaglemont,8119.00
2GMEL,Montmorency - Briar Hill,16792.00
2GMEL,Viewbank - Yallambie,19018.00
2GMEL,Watsonia,9542.00
2GMEL,Kingsbury,11965.00
2GMEL,Reservoir - East,28420.00
2GMEL,Reservoir - West,25246.00
2GMEL,Preston - East,21192.00
2GMEL,Preston - West,12867.00
2GMEL,Eltham,24008.00
2GMEL,Hurstbridge,3605.00
2GMEL,Kinglake,3984.00
2GMEL,Panton Hill - St Andrews,5409.00
2GMEL,Plenty - Yarrambat,9794.00
2GMEL,Research - North Warrandyte,7007.00
2GMEL,Wattle Glen - Diamond Creek,14351.00
2GMEL,Bundoora - North,7959.00
2GMEL,Bundoora - West,6456.00
2GMEL,Lalor,23874.00
2GMEL,Mill Park - North,18712.00
2GMEL,Mill Park - South,12526.00
2GMEL,Thomastown,21485.00
2GMEL,Wallan,16747.00
2GMEL,Whittlesea,8436.00
2GMEL,Doreen,21801.00
2GMEL,Epping - East,13738.00
2GMEL,Epping - South,8690.00
2GMEL,Epping - West,11484.00
2GMEL,Mernda,17171.00
2GMEL,South Morang (North),12675.00
2GMEL,South Morang (South),12558.00
2GMEL,Wollert,9493.00
2GMEL,Airport West,7903.00
2GMEL,Essendon Airport,0.00
2GMEL,Keilor,8993.00
2GMEL,Keilor East,27399.00
2GMEL,Niddrie - Essendon West,7250.00
2GMEL,Strathmore,9968.00
2GMEL,Gisborne,13312.00
2GMEL,Macedon,3525.00
2GMEL,Riddells Creek,4174.00
2GMEL,Romsey,9663.00
2GMEL,Coburg North,8112.00
2GMEL,Fawkner,14460.00
2GMEL,Pascoe Vale,24829.00
2GMEL,Glenroy,23153.00
2GMEL,Gowanbrae,3042.00
2GMEL,Hadfield,5911.00
2GMEL,Sunbury,13238.00
2GMEL,Sunbury - South,27686.00
2GMEL,Broadmeadows,13916.00
2GMEL,Campbellfield - Coolaroo,17122.00
2GMEL,Gladstone Park - Westmeadows,18353.00
2GMEL,Greenvale - Bulla,17123.00
2GMEL,Meadow Heights,15779.00
2GMEL,Melbourne Airport,194.00
2GMEL,Roxburgh Park - Somerton,23041.00
2GMEL,Tullamarine,6698.00
2GMEL,Craigieburn - Central,8749.00
2GMEL,Craigieburn - North,12124.00
2GMEL,Craigieburn - South,16999.00
2GMEL,Craigieburn - West,14882.00
2GMEL,Mickleham - Yuroke,3580.00
2GMEL,Bayswater,12584.00
2GMEL,Knoxfield - Scoresby,15752.00
2GMEL,Lysterfield,6917.00
2GMEL,Rowville - Central,15864.00
2GMEL,Rowville - North,8352.00
2GMEL,Rowville - South,11000.00
2GMEL,Wantirna,14425.00
2GMEL,Wantirna South,18580.00
2GMEL,Boronia,22918.00
2GMEL,Ferntree Gully (North),14337.00
2GMEL,Ferntree Gully (South) - Upper Ferntree Gully,15230.00
2GMEL,The Basin,4441.00
2GMEL,Donvale - Park Orchards,16715.00
2GMEL,Warrandyte - Wonga Park,10613.00
2GMEL,Bayswater North,12257.00
2GMEL,Croydon Hills - Warranwood,18752.00
2GMEL,Ringwood,17931.00
2GMEL,Ringwood East,21031.00
2GMEL,Ringwood North,9991.00
2GMEL,Croydon - East,15724.00
2GMEL,Croydon - West,13805.00
2GMEL,Croydon South,4856.00
2GMEL,Forest Hill,11074.00
2GMEL,Mitcham (Vic.),16859.00
2GMEL,Nunawading,12363.00
2GMEL,Vermont,10896.00
2GMEL,Vermont South,12251.00
2GMEL,Belgrave - Selby,10453.00
2GMEL,Chirnside Park,10266.00
2GMEL,Healesville - Yarra Glen,14106.00
2GMEL,Kilsyth,9470.00
2GMEL,Lilydale - Coldstream,19448.00
2GMEL,Monbulk - Silvan,5827.00
2GMEL,Montrose,7078.00
2GMEL,Mooroolbark,23027.00
2GMEL,Mount Dandenong - Olinda,10109.00
2GMEL,Mount Evelyn,10081.00
2GMEL,Upwey - Tecoma,10040.00
2GMEL,Wandin - Seville,7884.00
2GMEL,Yarra Valley,16622.00
2GMEL,Beaconsfield - Officer,13612.00
2GMEL,Bunyip - Garfield,8928.00
2GMEL,Emerald - Cockatoo,18580.00
2GMEL,Koo Wee Rup,7666.00
2GMEL,Pakenham - North,19370.00
2GMEL,Pakenham - South,29580.00
2GMEL,Berwick - North,23824.00
2GMEL,Berwick - South,26874.00
2GMEL,Doveton,11867.00
2GMEL,Hallam,11335.00
2GMEL,Narre Warren North,8183.00
2GMEL,Endeavour Hills - North,12499.00
2GMEL,Endeavour Hills - South,14160.00
2GMEL,Narre Warren - North East,13967.00
2GMEL,Narre Warren - South West,14544.00
2GMEL,Cranbourne,20888.00
2GMEL,Cranbourne East,26754.00
2GMEL,Cranbourne North,20985.00
2GMEL,Cranbourne South,9116.00
2GMEL,Cranbourne West,15685.00
2GMEL,Hampton Park - Lynbrook,26780.00
2GMEL,Lynbrook - Lyndhurst,16067.00
2GMEL,Pearcedale - Tooradin,8035.00
2GMEL,Narre Warren South (East),13713.00
2GMEL,Narre Warren South (West),17513.00
2GMEL,Clarinda - Oakleigh South,12323.00
2GMEL,Clayton South,13296.00
2GMEL,Dandenong,32700.00
2GMEL,Dandenong North,23684.00
2GMEL,Dingley Village,10611.00
2GMEL,Keysborough,27471.00
2GMEL,Noble Park North,7871.00
2GMEL,Springvale,22761.00
2GMEL,Springvale South,13227.00
2GMEL,Noble Park - East,13073.00
2GMEL,Noble Park - West,19435.00
2GMEL,Ashwood - Chadstone,19308.00
2GMEL,Clayton,23672.00
2GMEL,Glen Waverley - East,22153.00
2GMEL,Glen Waverley - West,20151.00
2GMEL,Mount Waverley - North,16053.00
2GMEL,Mount Waverley - South,19291.00
2GMEL,Mulgrave,20462.00
2GMEL,Oakleigh - Huntingdale,22617.00
2GMEL,Wheelers Hill,20880.00
2GMEL,Ardeer - Albion,8202.00
2GMEL,Cairnlea,10206.00
2GMEL,Deer Park - Derrimut,27536.00
2GMEL,Delahey,8841.00
2GMEL,Keilor Downs,13943.00
2GMEL,Kings Park (Vic.),14447.00
2GMEL,St Albans - North,21064.00
2GMEL,St Albans - South,18025.00
2GMEL,Sunshine,10241.00
2GMEL,Sunshine North,12123.00
2GMEL,Sunshine West,19533.00
2GMEL,Sydenham,12585.00
2GMEL,Taylors Lakes,18455.00
2GMEL,Altona,13206.00
2GMEL,Altona Meadows,20106.00
2GMEL,Altona North,14787.00
2GMEL,Newport,18523.00
2GMEL,Seabrook,5408.00
2GMEL,Williamstown,16389.00
2GMEL,Braybrook,19224.00
2GMEL,Footscray,17343.00
2GMEL,Maribyrnong,12950.00
2GMEL,Seddon - Kingsville,9711.00
2GMEL,West Footscray - Tottenham,12058.00
2GMEL,Yarraville,15656.00
2GMEL,Bacchus Marsh,20989.00
2GMEL,Hillside,21305.00
2GMEL,Melton,19560.00
2GMEL,Melton South,24243.00
2GMEL,Melton West,18157.00
2GMEL,Rockbank - Mount Cottrell,3148.00
2GMEL,Taylors Hill,20218.00
2GMEL,Burnside,4943.00
2GMEL,Burnside Heights,6431.00
2GMEL,Caroline Springs,20968.00
2GMEL,Hoppers Crossing - North,20172.00
2GMEL,Hoppers Crossing - South,20220.00
2GMEL,Laverton,9385.00
2GMEL,Tarneit,36404.00
2GMEL,Truganina,24628.00
2GMEL,Werribee - South,11776.00
2GMEL,Wyndham Vale,24270.00
2GMEL,Point Cook - East,12818.00
2GMEL,Point Cook - North,24288.00
2GMEL,Point Cook - South,15147.00
2GMEL,Werribee - East,20643.00
2GMEL,Werribee - West,12283.00
2GMEL,Carrum Downs,21549.00
2GMEL,Frankston,23510.00
2GMEL,Frankston North,19939.00
2GMEL,Frankston South,18995.00
2GMEL,Langwarrin,24694.00
2GMEL,Seaford (Vic.),17151.00
2GMEL,Skye - Sandhurst,13664.00
2GMEL,Dromana,11454.00
2GMEL,Flinders,5642.00
2GMEL,Hastings - Somers,22851.00
2GMEL,Mornington,25030.00
2GMEL,Mount Eliza,18696.00
2GMEL,Mount Martha,19365.00
2GMEL,Point Nepean,17999.00
2GMEL,Rosebud - McCrae,21613.00
2GMEL,Somerville,18878.00
2RVIC,Ararat,8386.00
2RVIC,Ararat Region,3198.00
2RVIC,Horsham,16462.00
2RVIC,Horsham Region,3443.00
2RVIC,Nhill Region,6960.00
2RVIC,St Arnaud,3353.00
2RVIC,Stawell,8225.00
2RVIC,West Wimmera,2782.00
2RVIC,Yarriambiack,6693.00
2RVIC,Irymple,6945.00
2RVIC,Merbein,4820.00
2RVIC,Mildura Region,3747.00
2RVIC,Red Cliffs,5947.00
2RVIC,Mildura - North,18398.00
2RVIC,Mildura - South,14801.00
2RVIC,Buloke,6285.00
2RVIC,Gannawarra,6661.00
2RVIC,Kerang,3898.00
2RVIC,Robinvale,3382.00
2RVIC,Swan Hill,11079.00
2RVIC,Swan Hill Region,6442.00
2RVIC,Echuca,14888.00
2RVIC,Kyabram,11034.00
2RVIC,Lockington - Gunbower,3855.00
2RVIC,Rochester,3895.00
2RVIC,Rushworth,4076.00
2RVIC,Cobram,6420.00
2RVIC,Moira,2623.00
2RVIC,Numurkah,12422.00
2RVIC,Yarrawonga,8021.00
2RVIC,Mooroopna,8033.00
2RVIC,Shepparton - North,19007.00
2RVIC,Shepparton - South,23668.00
2RVIC,Shepparton Region - East,3897.00
2RVIC,Shepparton Region - West,10279.00
2RVIC,Glenelg (Vic.),8778.00
2RVIC,Hamilton (Vic.),10081.00
2RVIC,Portland,10943.00
2RVIC,Southern Grampians,6143.00
2RVIC,Camperdown,3526.00
2RVIC,Colac,12450.00
2RVIC,Colac Region,5381.00
2RVIC,Corangamite - North,5432.00
2RVIC,Corangamite - South,7274.00
2RVIC,Otway,3556.00
2RVIC,Moyne - East,6709.00
2RVIC,Moyne - West,9603.00
2RVIC,Warrnambool - North,21442.00
2RVIC,Warrnambool - South,13173.00
