GCCSA,Area Name,Total
2RVIC,Alfredton,11852.00
2RVIC,Ballarat,12301.00
2RVIC,Ballarat - North,23539.00
2RVIC,Ballarat - South,24654.00
2RVIC,Buninyong,7311.00
2RVIC,Delacombe,7195.00
2RVIC,Smythes Creek,3990.00
2RVIC,Wendouree - Miners Rest,14826.00
2RVIC,Bacchus Marsh Region,5982.00
2RVIC,Creswick - Clunes,7870.00
2RVIC,Daylesford,9117.00
2RVIC,Gordon (Vic.),5761.00
2RVIC,Avoca,3323.00
2RVIC,Beaufort,4454.00
2RVIC,Golden Plains - North,4540.00
2RVIC,Maryborough (Vic.),8001.00
2RVIC,Maryborough Region,5278.00
2RVIC,Bendigo,14770.00
2RVIC,California Gully - Eaglehawk,12130.00
2RVIC,East Bendigo - Kennington,13750.00
2RVIC,Flora Hill - Spring Gully,9493.00
2RVIC,Kangaroo Flat - Golden Square,19947.00
2RVIC,Maiden Gully,5155.00
2RVIC,Strathfieldsaye,8775.00
2RVIC,White Hills - Ascot,11914.00
2RVIC,Bendigo Region - South,7346.00
2RVIC,Castlemaine,10770.00
2RVIC,Castlemaine Region,8621.00
2RVIC,Heathcote,4529.00
2RVIC,Kyneton,9782.00
2RVIC,Woodend,7043.00
2RVIC,Bendigo Region - North,4413.00
2RVIC,Loddon,7098.00
2RVIC,Bannockburn,6549.00
2RVIC,Golden Plains - South,6937.00
2RVIC,Winchelsea,5824.00
2RVIC,Belmont,14312.00
2RVIC,Corio - Norlane,27029.00
2RVIC,Geelong,13077.00
2RVIC,Geelong West - Hamlyn Heights,20021.00
2RVIC,Grovedale,23790.00
2RVIC,Highton,22794.00
2RVIC,Lara,18587.00
2RVIC,Leopold,13140.00
2RVIC,Newcomb - Moolap,14873.00
2RVIC,Newtown (Vic.),10483.00
2RVIC,North Geelong - Bell Park,15040.00
2RVIC,Clifton Springs,13593.00
2RVIC,Lorne - Anglesea,5261.00
2RVIC,Ocean Grove - Barwon Heads,24177.00
2RVIC,Portarlington,7517.00
2RVIC,Point Lonsdale - Queenscliff,4249.00
2RVIC,Torquay,19131.00
2RVIC,Alexandra,6474.00
2RVIC,Euroa,6316.00
2RVIC,Kilmore - Broadford,14098.00
2RVIC,Mansfield (Vic.),8935.00
2RVIC,Nagambie,4048.00
2RVIC,Seymour,6403.00
2RVIC,Seymour Region,4487.00
2RVIC,Upper Yarra Valley,184.00
2RVIC,Yea,3606.00
2RVIC,Benalla,10420.00
2RVIC,Benalla Region,3623.00
2RVIC,Rutherglen,3907.00
2RVIC,Wangaratta,18940.00
2RVIC,Wangaratta Region,9652.00
2RVIC,Beechworth,4632.00
2RVIC,Bright - Mount Beauty,8299.00
2RVIC,Chiltern - Indigo Valley,3117.00
2RVIC,Myrtleford,4742.00
2RVIC,Towong,6014.00
2RVIC,West Wodonga,15181.00
2RVIC,Wodonga,24919.00
2RVIC,Yackandandah,4578.00
2RVIC,Drouin,16435.00
2RVIC,Mount Baw Baw Region,6095.00
2RVIC,Trafalgar (Vic.),7828.00
2RVIC,Warragul,19088.00
2RVIC,Alps - East,0.00
2RVIC,Bairnsdale,14902.00
2RVIC,Bruthen - Omeo,7902.00
2RVIC,Lake King,0.00
