,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
86,2RVIC,Foster,8910,9674.0,764.0,8.574635241301907
87,2RVIC,French Island,114,74.0,-40.0,-35.08771929824561
88,2RVIC,Korumburra,9253,11247.0,1994.0,21.549767642926618
89,2RVIC,Leongatha,11202,13284.0,2082.0,18.58596679164435
90,2RVIC,Phillip Island,10686,15485.0,4799.0,44.909227026015344
91,2RVIC,Wilsons Promontory,0,0.0,0.0,
92,2RVIC,Wonthaggi - Inverloch,22577,32422.0,9845.0,43.60632502103911
93,2RVIC,Churchill,11594,12267.0,673.0,5.8047265827151975
94,2RVIC,Moe - Newborough,16840,17660.0,820.0,4.86935866983373
95,2RVIC,Morwell,14024,14562.0,538.0,3.836280661722761
96,2RVIC,Traralgon,27361,33650.0,6289.0,22.985271006176674
97,2RVIC,Yallourn North - Glengarry,4643,4888.0,245.0,5.276760715054921
98,2RVIC,Alps - West,0,0.0,0.0,
99,2RVIC,Longford - Loch Sport,4367,5057.0,690.0,15.800320586214792
100,2RVIC,Maffra,13997,16017.0,2020.0,14.431663927984568
101,2RVIC,Rosedale,4791,5267.0,476.0,9.935295345439366
102,2RVIC,Sale,14891,16914.0,2023.0,13.585387146598615
103,2RVIC,Yarram,5371,5667.0,296.0,5.511078011543474
104,2GMEL,Brunswick,27435,39114.0,11679.0,42.569710224166215
105,2GMEL,Brunswick East,11716,19327.0,7611.0,64.9624445203141
106,2GMEL,Brunswick West,14523,18767.0,4244.0,29.222612407904702
107,2GMEL,Coburg,27802,38578.0,10776.0,38.759801453132866
108,2GMEL,Pascoe Vale South,10465,13241.0,2776.0,26.526516961299567
109,2GMEL,Alphington - Fairfield,9434,12046.0,2612.0,27.687089251642995
110,2GMEL,Northcote,26424,34327.0,7903.0,29.9084165909779
111,2GMEL,Thornbury,19578,24176.0,4598.0,23.48554499948922
112,2GMEL,Ascot Vale,15497,21440.0,5943.0,38.3493579402465
113,2GMEL,Essendon - Aberfeldie,28946,37989.0,9043.0,31.240931389483865
114,2GMEL,Flemington,10734,14946.0,4212.0,39.239798770262716
115,2GMEL,Moonee Ponds,15158,25599.0,10441.0,68.88111888111888
