GCCSA,Area Name,Total
2GMEL,Brighton (Vic.),27915.00
2GMEL,Brighton East,18749.00
2GMEL,Cheltenham - Highett (West),15968.00
2GMEL,Hampton,22425.00
2GMEL,Sandringham - Black Rock,21521.00
2GMEL,Bentleigh - McKinnon,28525.00
2GMEL,Carnegie,25473.00
2GMEL,Caulfield - North,28751.00
2GMEL,Caulfield - South,21128.00
2GMEL,Elsternwick,15242.00
2GMEL,Hughesdale,10392.00
2GMEL,Murrumbeena,11572.00
2GMEL,Ormond - Glen Huntly,17061.00
2GMEL,Bentleigh East (North),24070.00
2GMEL,Bentleigh East (South),16389.00
2GMEL,Aspendale Gardens - Waterways,9884.00
2GMEL,Braeside,60.00
2GMEL,Carrum - Patterson Lakes,15005.00
2GMEL,Chelsea - Bonbeach,18637.00
2GMEL,Chelsea Heights,6155.00
2GMEL,Cheltenham - Highett (East),34133.00
2GMEL,Edithvale - Aspendale,15629.00
2GMEL,Mentone,17822.00
2GMEL,Moorabbin - Heatherton,13019.00
2GMEL,Moorabbin Airport,0.00
2GMEL,Mordialloc - Parkdale,25335.00
2GMEL,Malvern - Glen Iris,25858.00
2GMEL,Malvern East,29275.00
2GMEL,Bundoora - East,11524.00
2GMEL,Greensborough,24122.00
2GMEL,Heidelberg - Rosanna,22283.00
2GMEL,Heidelberg West,19325.00
2GMEL,Ivanhoe,16394.00
2GMEL,Ivanhoe East - Eaglemont,8910.00
2GMEL,Montmorency - Briar Hill,18224.00
2GMEL,Viewbank - Yallambie,19510.00
2GMEL,Watsonia,10469.00
2GMEL,Kingsbury,15678.00
2GMEL,Reservoir - East,38924.00
2GMEL,Reservoir - West,30397.00
2GMEL,Preston - East,33738.00
2GMEL,Preston - West,21363.00
2GMEL,Eltham,25717.00
2GMEL,Hurstbridge,3869.00
2GMEL,Kinglake,5062.00
2GMEL,Panton Hill - St Andrews,6077.00
2GMEL,Plenty - Yarrambat,11016.00
2GMEL,Research - North Warrandyte,7264.00
2GMEL,Wattle Glen - Diamond Creek,16372.00
2GMEL,Bundoora - North,12372.00
2GMEL,Bundoora - West,8356.00
2GMEL,Lalor,34964.00
2GMEL,Mill Park - North,19352.00
2GMEL,Mill Park - South,13059.00
2GMEL,Thomastown,24745.00
2GMEL,Wallan,64025.00
2GMEL,Whittlesea,44864.00
2GMEL,Doreen,32974.00
2GMEL,Epping - East,18068.00
2GMEL,Epping - South,9558.00
2GMEL,Epping - West,16410.00
2GMEL,Mernda,31310.00
2GMEL,South Morang (North),19911.00
2GMEL,South Morang (South),14764.00
2GMEL,Wollert,63746.00
2GMEL,Airport West,11000.00
2GMEL,Essendon Airport,0.00
2GMEL,Keilor,10321.00
2GMEL,Keilor East,34525.00
2GMEL,Niddrie - Essendon West,10006.00
2GMEL,Strathmore,12253.00
2GMEL,Gisborne,20272.00
2GMEL,Macedon,3963.00
2GMEL,Riddells Creek,5819.00
2GMEL,Romsey,13065.00
2GMEL,Coburg North,13337.00
2GMEL,Fawkner,18685.00
2GMEL,Pascoe Vale,34604.00
2GMEL,Glenroy,32250.00
2GMEL,Gowanbrae,4153.00
2GMEL,Hadfield,8407.00
2GMEL,Sunbury,22305.00
2GMEL,Sunbury - South,47871.00
2GMEL,Broadmeadows,21013.00
2GMEL,Campbellfield - Coolaroo,19138.00
2GMEL,Gladstone Park - Westmeadows,20916.00
2GMEL,Greenvale - Bulla,35127.00
2GMEL,Meadow Heights,16660.00
2GMEL,Melbourne Airport,194.00
2GMEL,Roxburgh Park - Somerton,28527.00
2GMEL,Tullamarine,8118.00
2GMEL,Craigieburn - Central,9155.00
2GMEL,Craigieburn - North,14284.00
2GMEL,Craigieburn - South,28747.00
2GMEL,Craigieburn - West,31305.00
2GMEL,Mickleham - Yuroke,58334.00
2GMEL,Bayswater,16999.00
2GMEL,Knoxfield - Scoresby,23138.00
2GMEL,Lysterfield,7715.00
2GMEL,Rowville - Central,17182.00
2GMEL,Rowville - North,9097.00
2GMEL,Rowville - South,11258.00
2GMEL,Wantirna,16808.00
2GMEL,Wantirna South,22618.00
2GMEL,Boronia,28906.00
2GMEL,Ferntree Gully (North),16794.00
2GMEL,Ferntree Gully (South) - Upper Ferntree Gully,16221.00
2GMEL,The Basin,4846.00
2GMEL,Donvale - Park Orchards,17897.00
2GMEL,Warrandyte - Wonga Park,11158.00
2GMEL,Bayswater North,14298.00
2GMEL,Croydon Hills - Warranwood,20361.00
2GMEL,Ringwood,27199.00
2GMEL,Ringwood East,25467.00
2GMEL,Ringwood North,11013.00
2GMEL,Croydon - East,21190.00
2GMEL,Croydon - West,18379.00
2GMEL,Croydon South,5361.00
2GMEL,Forest Hill,13473.00
2GMEL,Mitcham (Vic.),20238.00
2GMEL,Nunawading,16248.00
2GMEL,Vermont,12569.00
2GMEL,Vermont South,13797.00
2GMEL,Belgrave - Selby,10529.00
2GMEL,Chirnside Park,15022.00
2GMEL,Healesville - Yarra Glen,16814.00
2GMEL,Kilsyth,11595.00
2GMEL,Lilydale - Coldstream,29679.00
2GMEL,Monbulk - Silvan,6171.00
2GMEL,Montrose,7546.00
2GMEL,Mooroolbark,27844.00
2GMEL,Mount Dandenong - Olinda,10334.00
2GMEL,Mount Evelyn,10730.00
2GMEL,Upwey - Tecoma,10170.00
2GMEL,Wandin - Seville,8846.00
2GMEL,Yarra Valley,17632.00
2GMEL,Beaconsfield - Officer,49252.00
2GMEL,Bunyip - Garfield,18851.00
2GMEL,Emerald - Cockatoo,20784.00
2GMEL,Koo Wee Rup,13705.00
2GMEL,Pakenham - North,35071.00
2GMEL,Pakenham - South,40398.00
2GMEL,Berwick - North,26669.00
