,suburb,number of trips,number of stops,trips per stop,Actual Postcode,Adjusted Postcode
116,Croydon Hills,435,11,39.54545454545455,3136,3136
117,Croydon North,1919,36,53.30555555555556,3136,3136
118,Croydon South,1026,15,68.4,3136,3136
119,Dallas,2557,24,106.54166666666667,3047,3047
120,Dandenong,11618,143,81.24475524475524,3175,3175
121,Dandenong North,3649,98,37.234693877551024,3175,3175
122,Dandenong South,5312,104,51.07692307692308,3164,3164
123,Deer Park,3438,67,51.3134328358209,3023,3023
124,Delahey,911,29,31.413793103448278,3037,3037
125,Derrimut,725,24,30.208333333333332,3030,3030
126,Devon Meadows,234,18,13.0,3977,3977
127,Diamond Creek,2289,42,54.5,3089,"3096, 3089"
128,Diggers Rest,350,13,26.923076923076923,3427,3427
129,Dingley Village,1990,61,32.622950819672134,3172,3172
130,Docklands,6856,24,285.6666666666667,3008,3008
131,Doncaster,11771,113,104.16814159292035,3108,3108
132,Doncaster East,12292,134,91.73134328358209,3109,3109
133,Donnybrook,378,8,47.25,3064,3064
134,Donvale,3437,59,58.25423728813559,3111,"3111, 3114"
135,Doreen,6522,89,73.28089887640449,3754,3754
136,Doveton,2009,40,50.225,3177,3177
137,Dromana,895,16,55.9375,3936,3936
138,Eaglemont,778,8,97.25,3084,3084
139,East Melbourne,6887,28,245.96428571428572,3002,3002
140,East Warburton,44,9,4.888888888888889,3799,3799
141,Edithvale,1506,30,50.2,3196,3196
142,Elsternwick,4647,64,72.609375,3185,3185
143,Eltham,5127,53,96.73584905660377,3095,3095
144,Eltham North,1423,21,67.76190476190476,3095,3095
145,Elwood,3297,43,76.67441860465117,3184,3184
146,Emerald,606,16,37.875,3782,"3782, 3781"
147,Endeavour Hills,4534,129,35.14728682170543,3802,3802
148,Epping,18789,164,114.5670731707317,3076,3076
149,Essendon,9859,125,78.872,3040,3040
150,Essendon North,683,8,85.375,3041,3041
151,Essendon West,671,5,134.2,3040,3040
152,Eumemmerring,356,6,59.333333333333336,3177,3177
153,Fairfield,3651,42,86.92857142857143,3078,3078
154,Fawkner,2681,77,34.81818181818182,3060,3060
155,Ferntree Gully,12686,138,91.92753623188406,3156,3156
156,Ferny Creek,726,12,60.5,3786,3786
157,Fitzroy,6619,44,150.4318181818182,3065,3065
158,Fitzroy North,5670,60,94.5,3068,3068
159,Flemington,3031,35,86.6,3031,3031
160,Flinders,24,5,4.8,3929,3929
161,Footscray,11522,115,100.19130434782609,3011,3011
162,Forest Hill,5044,49,102.93877551020408,3131,3131
163,Frankston,10872,205,53.03414634146341,3199,3199
164,Frankston North,1687,39,43.256410256410255,3200,3200
165,Frankston South,1978,75,26.373333333333335,3199,3199
166,Fraser Rise,200,8,25.0,3335,"3335, 3024"
167,Gardenvale,900,10,90.0,3185,3185
168,Gembrook,815,16,50.9375,3783,3783
169,Gladstone Park,2009,32,62.78125,3043,3043
170,Glen Huntly,827,6,137.83333333333334,3163,3163
171,Glen Iris,5517,68,81.13235294117646,3146,3146
172,Glen Waverley,19419,182,106.6978021978022,3150,3150
173,Glenroy,5740,79,72.65822784810126,3046,3046
174,Gowanbrae,357,16,22.3125,3043,3043
175,Greensborough,10971,97,113.10309278350516,3088,3088
176,Greenvale,2371,66,35.92424242424242,3059,"3059, 3428"
177,Hadfield,2514,46,54.65217391304348,3046,3046
178,Hallam,3716,58,64.06896551724138,3803,3803
179,Hampton,2781,69,40.30434782608695,3188,3188
180,Hampton East,783,15,52.2,3188,3188
181,Hampton Park,8619,104,82.875,3976,"3976, 3975"
182,Harkness,80,5,16.0,3337,3337
183,Hastings,539,29,18.586206896551722,3915,"3915, 3927"
184,Hawthorn,8254,66,125.06060606060606,3122,3122
185,Hawthorn East,4323,46,93.97826086956522,3123,3123
186,Healesville,479,38,12.605263157894736,3777,"3777, 3775"
187,Heatherton,1817,36,50.47222222222222,3202,"3189, 3202"
188,Heathmont,1446,19,76.10526315789474,3135,3135
189,Heidelberg,3919,26,150.73076923076923,3084,3084
190,Heidelberg Heights,3571,51,70.01960784313725,3081,3081
191,Heidelberg West,4334,48,90.29166666666667,3081,3081
192,Highett,2570,54,47.592592592592595,3190,"3192, 3190"
193,Hillside,1050,27,38.888888888888886,3037,3037
194,Hoppers Crossing,7147,185,38.63243243243243,3029,3029
195,Hughesdale,3074,37,83.08108108108108,3166,3166
196,Humevale,188,10,18.8,3757,3757
197,Huntingdale,808,9,89.77777777777777,3166,3166
198,Hurstbridge,272,4,68.0,3099,3099
199,Ivanhoe,4205,61,68.93442622950819,3079,3079
200,Ivanhoe East,798,14,57.0,3079,3079
201,Jacana,723,15,48.2,3047,3047
202,Junction Village,106,8,13.25,3977,3977
203,Kalkallo,480,4,120.0,3064,3064
204,Kallista,200,4,50.0,3791,3791
205,Kalorama,696,12,58.0,3766,3766
206,Kangaroo Ground,236,12,19.666666666666668,3097,3097
207,Kealba,292,13,22.46153846153846,3021,3021
208,Keilor,1080,30,36.0,3036,3036
