suburb,number of trips
Seabrook,298
Seaford,3209
Seaholme,117
Seddon,1302
Selby,480
Seville,210
Seville East,72
Sherbrooke,202
Shoreham,20
Silvan,1000
Skye,72
Somers,274
Somerton,615
Somerville,486
Sorrento,1230
South,122
South Kingsville,615
South Melbourne,7138
South Morang,11375
South Yarra,7642
Southbank,7103
Spotswood,895
Springvale,5050
Springvale South,1727
St Albans,5734
St Andrews Beach,48
St Helena,831
St Kilda,11235
St Kilda East,3017
St Kilda West,658
Strathmore,2014
Strathmore Heights,272
Strathtulloh,24
Sunbury,6465
Sunshine,8091
Sunshine North,2577
Sunshine West,3175
Surrey Hills,5398
Sydenham,1646
Taggerty,4
Tarneit,6177
Tarrawarra,27
Taylors Hill,1014
Taylors Lakes,3136
Tecoma,640
Templestowe,7613
Templestowe Lower,4050
The Basin,810
The Patch,448
Thomastown,10295
Thornbury,7812
Thornton,2
Tooradin,48
Toorak,5318
Tootgarook,595
Tottenham,342
Travancore,131
Tremont,176
Truganina,2236
Tullamarine,2546
Tyabb,250
Upper Ferntree Gully,1526
Upwey,948
Vermont,3548
Vermont South,6078
Viewbank,1714
Wandin North,329
Wantirna,4658
Wantirna South,10700
Warburton,267
Warneet,64
Warrandyte,3803
Warrandyte South,133
Warranwood,848
Waterways,225
Watsonia,2420
Watsonia North,1830
Wattle Glen,236
Werribee,7845
Werribee South,223
Wesburn,215
West,97
West Footscray,4104
West Melbourne,4985
Westmeadows,2028
Wheelers Hill,6308
Whittlesea,1464
Williams Landing,1893
Williamstown,3607
Williamstown North,260
Windsor,2407
Wollert,2808
Wonga Park,1188
Woori Yallock,304
Wyndham Vale,1801
Yallambie,1466
Yan Yean,880
Yarra Glen,54
Yarra Junction,322
Yarrambat,1418
Yarraville,3612
after,228
before,74
east,84
north,151
south,275
west,236
